Prob_Threshold,LogDir,Norm_First,Split_Ratio,Timestamp,RunID,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score
0.35,log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.1,2026-01-30 17:11:58,1769764270122_202fd60e,1769764270122_202fd60e17697643183116474,0.4805194805194805,0.4901761517615176,0.4892592592592593,0.4733242134062927,0.5345968394748882,0.4805194805194805,0.4917121182511058,0.4805194805194805,0.4805194805194805,0.4805194805194805,0.4883664670059683
0.35,log/pimaindians_diabetes/7/biMeanInfgain/Standard__gaussian_noise__noIMB/DTmodel,True,0.2,2026-01-30 19:10:38,1769764270122_202fd60e,1769764270122_202fd60e17697714387144835,0.6558441558441559,0.627921498661909,0.6327777777777778,0.6295892897662809,0.663600449505891,0.6558441558441559,0.6590459687804822,0.6558441558441559,0.6558441558441559,0.6558441558441559,0.6480629237142346
0.35,log/pimaindians_diabetes/5/infgain/Standard__mixup__RandomUnderSampler/random_forest,True,0.1,2026-01-30 17:51:37,1769764270122_202fd60e,1769764270122_202fd60e17697666977008321,0.7272727272727273,0.7537878787878789,0.7729629629629631,0.7256066519599524,0.809228650137741,0.7272727272727273,0.7319932739922557,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7431470289907803
0.35,log/pimaindians_diabetes/5/infgain/Standard__mixup__RandomUnderSampler/random_forest,True,0.2,2026-01-30 17:51:40,1769764270122_202fd60e,1769764270122_202fd60e17697667006083493,0.6948051948051948,0.7077040556592566,0.7266666666666667,0.6910402526998762,0.7571496889331608,0.6948051948051948,0.701227743102503,0.6948051948051948,0.6948051948051948,0.6948051948051948,0.7059143184183431
0.35,log/pimaindians_diabetes/7/biMeanInfgain/Standard__gaussian_noise__noIMB/DTmodel,True,0.1,2026-01-30 19:10:33,1769764270122_202fd60e,1769764270122_202fd60e17697714330191271,0.6493506493506493,0.5942622950819672,0.5681481481481481,0.5644248900062854,0.6224185650415158,0.6493506493506493,0.6218746683862962,0.6493506493506493,0.6493506493506493,0.6493506493506493,0.6161680943263099
