Part_Label,Model:LogisticRegression,Model:sklearn_SVM,Split_Ratio:0.1,Split_Ratio:0.15,Split_Ratio:0.2,FeatureNum:5.0,Model:GradientBoosting,Model:XGBmodel,Split_Ratio:0.3,FS_Method:infgain,FS_Method:noSelect,FeatureNum:4.0,FeatureNum:8.0,FS_Method:biMaxInfgain,Model:random_forest,Scaler:standard,Scaler:minmax,Split_Ratio:0.25,AugName:noAug,FeatureNum:6.0,FeatureNum:7.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,Model:DTmodel
Model:LogisticRegression,,,0.9888168746054726,0.897833641756987,0.9109626714935125,0.9661553877310544,,,0.9919165137335461,0.976427321138316,0.9654322498497383,0.9729743756155822,0.9654322498497383,0.9583039812705247,,0.9234632588558891,0.9903645713077566,0.9882415957303706,0.9681000561871803,0.9700539049736061,0.9636071788945363,0.9681000561871803,0.9681256237189613,0.9680744693252583,0.9681000561871803,
Model:sklearn_SVM,,,0.9795099618012362,0.874179909015002,0.8887085587506306,0.9518898522228569,,,0.9847833972610097,0.9640057132897161,0.9509690865790007,0.9602174411129555,0.9509690865790007,0.9427591374008123,,0.902595809632103,0.9822419343659701,0.9795977301159369,0.9541139068963179,0.9562738842094036,0.9486486201492473,0.9541139068963179,0.9541449535605071,0.9540828397302671,0.9541139068963179,
Split_Ratio:0.1,0.9888168746054726,0.9795099618012362,,,,0.9930718129386894,0.9841324184853272,0.9695021698457092,,0.9973222604705164,0.992804196023962,0.995516860963669,0.992804196023962,0.9891772996568026,0.9607623044353634,0.9697503902464324,0.9990820221354976,,0.9939766983200948,0.9949703580748868,0.9921635934649483,0.9939766983200948,0.9939863356339664,0.9939670452811542,0.9939766983200948,0.8886674483545298
Split_Ratio:0.15,0.897833641756987,0.874179909015002,,,,0.980900336757069,0.9911129360580048,0.9975669754019575,,0.971686301364212,0.9815045919223845,0.9748703792474295,0.9815045919223845,0.9859707008514133,0.9994940332091433,0.9980483946173327,0.9496106401903406,,0.979468386305255,0.977846168933521,0.982857165817254,0.979468386305255,0.9794472264177099,0.9794895383029854,0.979468386305255,0.983665701570614
Split_Ratio:0.2,0.9109626714935125,0.8887085587506306,,,,0.9864107567555129,0.9946414067936794,0.9989704223018703,,0.978499164536655,0.9869290306720366,0.9812487972769626,0.9869290306720366,0.9906183764785524,0.9998599507978506,0.9994850058304943,0.9588033753247426,,0.9852092768229949,0.9838259922719303,0.9880681237247393,0.9852092768229949,0.9851912820163709,0.9852272628775506,0.9852092768229949,0.9785244557480126
FeatureNum:5.0,0.9661553877310544,0.9518898522228569,0.9930718129386894,0.980900336757069,0.9864107567555129,,0.9970561323639705,0.9899465045967578,0.9903862167914164,0.9989257798823066,0.9999788455281731,,,0.9995477641746426,0.9855032762561168,0.9910398146776909,0.992349137195721,0.9937077875863264,0.9999333428530559,,,0.9999333428530559,0.9999323304507294,0.9999343420925454,0.9999333428530559,0.9363483884482174
Model:GradientBoosting,,,0.9841324184853272,0.9911129360580048,0.9946414067936794,0.9970561323639705,,,0.9779719715650335,0.993865537250035,0.9974007947326391,0.9945987999195901,0.9974007947326391,0.9983124839110691,,0.997306483452077,0.981491175168249,0.9834787209765692,0.9967744570307956,0.9964752547770402,0.9980999025349503,0.9967744570307956,0.9967663381271066,0.99678256457711,0.9967744570307956,
Model:XGBmodel,,,0.9695021698457092,0.9975669754019575,0.9989704223018703,0.9899465045967578,,,0.9614280073122452,0.9838798280865486,0.9905130850630302,0.9855110071309605,0.9905130850630302,0.993151105785659,,0.9994751759453689,0.9659880530652025,0.9688339911635636,0.9891809907143901,0.9883937396177829,0.9917440802957326,0.9891809907143901,0.9891656736717777,0.9891962982873146,0.9891809907143901,
Split_Ratio:0.3,0.9919165137335461,0.9847833972610097,,,,0.9903862167914164,0.9779719715650335,0.9614280073122452,,0.9950157437057249,0.9899534663467863,0.9940169275718279,0.9899534663467863,0.9862037657188678,0.9527347649006414,0.9630771613363959,0.9997734421676678,,0.9913242488681748,0.9920323351342053,0.9887344560335358,0.9913242488681748,0.991338268623234,0.9913102123363684,0.9913242488681748,0.8823743190985808
FS_Method:infgain,0.976427321138316,0.9640057132897161,0.9973222604705164,0.971686301364212,0.978499164536655,0.9989257798823066,0.993865537250035,0.9838798280865486,0.9950157437057249,,,0.9996594836182146,0.9988640175885766,,0.9777150516660973,0.9844665646255438,0.9966304342247785,0.9973672430429029,0.9993130953832859,0.9996115748797328,0.998585730702529,0.9993130953832859,0.9993165735738339,0.9993096029241285,0.9993130953832859,0.9194519833293545
FS_Method:noSelect,0.9654322498497383,0.9509690865790007,0.992804196023962,0.9815045919223845,0.9869290306720366,0.9999788455281731,0.9974007947326391,0.9905130850630302,0.9899534663467863,,,0.9994413631559111,1.0,,0.9860986666007492,0.9914493440808695,0.9920267159725573,0.993433509010428,0.9999411676888694,0.9997438798261631,0.9999341895999342,0.9999411676888694,0.9999400076168843,0.999942314634549,0.9999411676888694,0.9371030689025908
FeatureNum:4.0,0.9729743756155822,0.9602174411129555,0.995516860963669,0.9748703792474295,0.9812487972769626,,0.9945987999195901,0.9855110071309605,0.9940169275718279,0.9996594836182146,0.9994413631559111,,,0.9983636545787566,0.9801872313140397,0.986674188057246,0.9955326717751533,0.996642444498709,0.9997096305405561,,,0.9997096305405561,0.9997122424890537,0.9997070045330398,0.9997096305405561,0.9268106822511848
FeatureNum:8.0,0.9654322498497383,0.9509690865790007,0.992804196023962,0.9815045919223845,0.9869290306720366,,0.9974007947326391,0.9905130850630302,0.9899534663467863,0.9988640175885766,1.0,,,0.9996278763492634,0.9860986666007492,0.9914493440808695,0.9920267159725573,0.993433509010428,0.9999411676888694,,,0.9999411676888694,0.9999400076168843,0.999942314634549,0.9999411676888694,0.9371030689025908
FS_Method:biMaxInfgain,0.9583039812705247,0.9427591374008123,0.9891772996568026,0.9859707008514133,0.9906183764785524,0.9995477641746426,0.9983124839110691,0.993151105785659,0.9862037657188678,,,0.9983636545787566,0.9996278763492634,,0.9897424115150901,0.9942964929880156,0.9885145185383796,0.9903382825713162,0.9992923598409573,0.9988105518276358,0.9996732985537929,0.9992923598409573,0.9992888591418471,0.9992958480031626,0.9992923598409573,0.9462133255069212
Model:random_forest,,,0.9607623044353634,0.9994940332091433,0.9998599507978506,0.9855032762561168,,,0.9527347649006414,0.9777150516660973,0.9860986666007492,0.9801872313140397,0.9860986666007492,0.9897424115150901,,0.9992667488712329,0.9574850611081314,0.9608664653186526,0.9843804209579344,0.9831446171467856,0.9874092442473091,0.9843804209579344,0.9843618820242759,0.9843989512856387,0.9843804209579344,
Scaler:standard,0.9234632588558891,0.902595809632103,0.9697503902464324,0.9980483946173327,0.9994850058304943,0.9910398146776909,0.997306483452077,0.9994751759453689,0.9630771613363959,0.9844665646255438,0.9914493440808695,0.986674188057246,0.9914493440808695,0.9942964929880156,0.9992667488712329,,,0.9700859632169563,0.9900448133745196,0.9889192402095972,0.9923807668674104,0.9900448133745196,0.9900296918069696,0.990059925412297,0.9900448133745196,0.9719512775975998
