Part_Label,Split_Ratio:0.1,FeatureNum:5.0,Scaler:standard,FeatureNum:4.0,FS_Method:infgain,Norm_Order:last,AugName:noAug,ImblName:noImbl,Prob_Threshold:0.5,Norm_Order:first
Split_Ratio:0.1,,0.9930718129386894,0.9697503902464324,0.995516860963669,0.9973222604705164,0.9939670452811542,0.9939766983200948,0.9939766983200948,0.9939766983200948,0.9939863356339664
FeatureNum:5.0,0.9930718129386894,,0.9910398146776909,,0.9989257798823066,0.9999343420925454,0.9999333428530559,0.9999333428530559,0.9999333428530559,0.9999323304507294
Scaler:standard,0.9697503902464324,0.9910398146776909,,0.9866741880572465,0.9844665646255456,0.990059925412297,0.9900448133745196,0.9900448133745196,0.9900448133745196,0.9900296918069696
FeatureNum:4.0,0.995516860963669,,0.9866741880572465,,0.999659483618216,0.9997070045330398,0.9997096305405561,0.9997096305405561,0.9997096305405561,0.9997122424890537
FS_Method:infgain,0.9973222604705164,0.9989257798823066,0.9844665646255456,0.999659483618216,,0.9993096029241285,0.9993130953832859,0.9993130953832859,0.9993130953832859,0.9993165735738339
Norm_Order:last,0.9939670452811542,0.9999343420925454,0.990059925412297,0.9997070045330398,0.9993096029241285,,0.9999999932917146,0.9999999932917146,0.9999999932917146,
AugName:noAug,0.9939766983200948,0.9999333428530559,0.9900448133745196,0.9997096305405561,0.9993130953832859,0.9999999932917146,,1.0,1.0,0.999999993295044
ImblName:noImbl,0.9939766983200948,0.9999333428530559,0.9900448133745196,0.9997096305405561,0.9993130953832859,0.9999999932917146,1.0,,1.0,0.999999993295044
Prob_Threshold:0.5,0.9939766983200948,0.9999333428530559,0.9900448133745196,0.9997096305405561,0.9993130953832859,0.9999999932917146,1.0,1.0,,0.999999993295044
Norm_Order:first,0.9939863356339664,0.9999323304507294,0.9900296918069696,0.9997122424890537,0.9993165735738339,,0.999999993295044,0.999999993295044,0.999999993295044,
