Detail,MeanImportance,StdImportance,Rank
Model_DTmodel,0.4265909407265302,0.026251879522492524,1
Split_Ratio,0.20606970406058286,0.020428440687082616,2
FeatureNum,0.10362277966701955,0.010565935641433506,3
FS_Method_biMaxInfgain,0.06269565736201416,0.015314668809651193,4
Model_XGBmodel,0.031985855903751435,0.005447364495735498,5
Scaler_standard,0.031720113301976265,0.004568724613752617,6
Scaler_minmax,0.029698166647692592,0.005298569820168623,7
Model_LogisticRegression,0.021227938345272115,0.0021580393356592314,8
Model_random_forest,0.020088056590036877,0.002988954683333492,9
Model_sklearn_SVM,0.01992148706907678,0.012331074937069145,10
