Detail,MeanImportance,StdImportance,Rank
AugName_gaussian_noise,0.24040512904529487,0.059966898218303755,1
Model_DTmodel,0.13210258367491046,0.06229427325979166,2
Prob_Threshold,0.08150773611338982,0.04566134770516199,3
Split_Ratio,0.07304924339950018,0.013093744136792132,4
FeatureNum,0.07011563145377007,0.01203986246965244,5
ImblName_TomekLinks,0.046567408417429935,0.02413608657900121,6
ImblName_noImbl,0.04395302735836873,0.01961639866892889,7
Model_random_forest,0.03936159986628426,0.0013282065993186739,8
Model_LogisticRegression,0.03506217732472114,0.014750182450843686,9
Scaler_minmax,0.0262483407408626,0.004000614616642459,10
