Detail,MeanImportance,StdImportance,Rank
AugName_gaussian_noise,0.3129804209111809,0.05811508527386733,1
Model_DTmodel,0.14815665621837107,0.07926177903375799,2
Prob_Threshold,0.0752745556898898,0.038986443078271905,3
FeatureNum,0.058914472285467985,0.010905104128901206,4
ImblName_TomekLinks,0.04392059584093119,0.02645237756066056,5
Model_sklearn_SVM,0.04309024909154436,0.014014216383418002,6
ImblName_noImbl,0.03659275762464193,0.018385532311567337,7
Model_LogisticRegression,0.035856716987223446,0.015469592003293415,8
Split_Ratio,0.030389622461528706,0.006512183180659687,9
Model_random_forest,0.021128581524392464,0.008187370853571801,10
