,biMaxInfgain,infgain,noSelect
biMaxInfgain,0.0,0.02309461946651685,0.025998721660747834
infgain,0.02309461946651685,0.0,0.028021423011938735
noSelect,0.025998721660747834,0.028021423011938735,0.0
