Rank,Metric,Value,LogDir,Split_Ratio,P_th,R_St
1,M_P,0.8293,log/pimaindians_diabetes/7/infgain/noAug__ADASYN__standard/random_forest,0.1,0.5,42
1,M_R,0.8615,log/pimaindians_diabetes/7/infgain/noAug__ADASYN__standard/random_forest,0.1,0.5,42
1,M_F1,0.8270,log/pimaindians_diabetes/7/infgain/noAug__ADASYN__standard/random_forest,0.1,0.5,42
1,m_P,0.8312,log/pimaindians_diabetes/8/noSelect/minmax__mixup__TomekLinks/random_forest,0.1,0.5,42
1,m_R,0.8312,log/pimaindians_diabetes/8/noSelect/minmax__mixup__TomekLinks/random_forest,0.1,0.5,42
1,m_F1,0.8312,log/pimaindians_diabetes/8/noSelect/minmax__mixup__TomekLinks/random_forest,0.1,0.5,42
1,W_P,0.8726,log/pimaindians_diabetes/7/infgain/noAug__ADASYN__standard/random_forest,0.1,0.5,42
1,W_R,0.8312,log/pimaindians_diabetes/8/noSelect/minmax__mixup__TomekLinks/random_forest,0.1,0.5,42
1,W_F1,0.8350,log/pimaindians_diabetes/7/infgain/noAug__ADASYN__standard/random_forest,0.1,0.5,42
1,Acc,0.8312,log/pimaindians_diabetes/8/noSelect/minmax__mixup__TomekLinks/random_forest,0.1,0.5,42
2,M_P,0.8181,log/pimaindians_diabetes/4/biMaxInfgain/mixup__ADASYN__minmax/random_forest,0.1,0.5,42
2,M_R,0.8444,log/pimaindians_diabetes/4/biMaxInfgain/mixup__ADASYN__minmax/random_forest,0.1,0.5,42
2,M_F1,0.8236,log/pimaindians_diabetes/6/biMeanInfgain/standard__mixup__ADASYN/random_forest,0.1,0.5,42
2,m_P,0.8312,log/pimaindians_diabetes/7/infgain/noAug__ADASYN__standard/random_forest,0.1,0.5,42
2,m_R,0.8312,log/pimaindians_diabetes/7/infgain/noAug__ADASYN__standard/random_forest,0.1,0.5,42
2,m_F1,0.8312,log/pimaindians_diabetes/7/infgain/noAug__ADASYN__standard/random_forest,0.1,0.5,42
2,W_P,0.8597,log/pimaindians_diabetes/8/noSelect/mixup__ADASYN__minmax/random_forest,0.1,0.35,42
2,W_R,0.8312,log/pimaindians_diabetes/7/infgain/noAug__ADASYN__standard/random_forest,0.1,0.5,42
2,W_F1,0.8345,log/pimaindians_diabetes/6/biMeanInfgain/standard__mixup__ADASYN/random_forest,0.1,0.5,42
2,Acc,0.8312,log/pimaindians_diabetes/7/infgain/noAug__ADASYN__standard/random_forest,0.1,0.5,42
3,M_P,0.8181,log/pimaindians_diabetes/6/biMeanInfgain/standard__mixup__ADASYN/random_forest,0.1,0.5,42
3,M_R,0.8444,log/pimaindians_diabetes/6/biMeanInfgain/standard__mixup__ADASYN/random_forest,0.1,0.5,42
3,M_F1,0.8236,log/pimaindians_diabetes/4/biMaxInfgain/mixup__ADASYN__minmax/random_forest,0.1,0.5,42
3,m_P,0.8312,log/pimaindians_diabetes/4/biMaxInfgain/mixup__ADASYN__minmax/random_forest,0.1,0.5,42
3,m_R,0.8312,log/pimaindians_diabetes/4/biMaxInfgain/mixup__ADASYN__minmax/random_forest,0.1,0.5,42
3,m_F1,0.8312,log/pimaindians_diabetes/4/biMaxInfgain/mixup__ADASYN__minmax/random_forest,0.1,0.5,42
3,W_P,0.8597,log/pimaindians_diabetes/6/infgain/noAug__ADASYN__standard/random_forest,0.1,0.5,42
3,W_R,0.8312,log/pimaindians_diabetes/4/biMaxInfgain/mixup__ADASYN__minmax/random_forest,0.1,0.5,42
3,W_F1,0.8345,log/pimaindians_diabetes/4/biMaxInfgain/mixup__ADASYN__minmax/random_forest,0.1,0.5,42
3,Acc,0.8312,log/pimaindians_diabetes/4/biMaxInfgain/mixup__ADASYN__minmax/random_forest,0.1,0.5,42
4,M_P,0.8149,log/pimaindians_diabetes/8/noSelect/minmax__mixup__TomekLinks/random_forest,0.1,0.5,42
4,M_R,0.8430,log/pimaindians_diabetes/7/infgain/noAug__noImbl__standard/random_forest,0.1,0.35,42
4,M_F1,0.8214,log/pimaindians_diabetes/8/noSelect/minmax__mixup__TomekLinks/random_forest,0.1,0.5,42
4,m_P,0.8312,log/pimaindians_diabetes/6/biMeanInfgain/standard__mixup__ADASYN/random_forest,0.1,0.5,42
4,m_R,0.8312,log/pimaindians_diabetes/6/biMeanInfgain/standard__mixup__ADASYN/random_forest,0.1,0.5,42
4,m_F1,0.8312,log/pimaindians_diabetes/6/biMeanInfgain/standard__mixup__ADASYN/random_forest,0.1,0.5,42
4,W_P,0.8597,log/pimaindians_diabetes/7/infgain/noAug__SMOTE__standard/random_forest,0.1,0.5,42
4,W_R,0.8312,log/pimaindians_diabetes/6/biMeanInfgain/standard__mixup__ADASYN/random_forest,0.1,0.5,42
4,W_F1,0.8339,log/pimaindians_diabetes/6/infgain/standard__mixup__SMOTE/random_forest,0.1,0.5,42
4,Acc,0.8312,log/pimaindians_diabetes/6/biMeanInfgain/standard__mixup__ADASYN/random_forest,0.1,0.5,42
5,M_P,0.8149,log/pimaindians_diabetes/6/infgain/standard__mixup__SMOTE/random_forest,0.1,0.5,42
5,M_R,0.8430,log/pimaindians_diabetes/7/infgain/standard__noAug__noImbl/random_forest,0.1,0.35,42
5,M_F1,0.8214,log/pimaindians_diabetes/6/infgain/standard__mixup__SMOTE/random_forest,0.1,0.5,42
5,m_P,0.8312,log/pimaindians_diabetes/6/infgain/standard__mixup__SMOTE/random_forest,0.1,0.5,42
5,m_R,0.8312,log/pimaindians_diabetes/6/infgain/standard__mixup__SMOTE/random_forest,0.1,0.5,42
5,m_F1,0.8312,log/pimaindians_diabetes/6/infgain/standard__mixup__SMOTE/random_forest,0.1,0.5,42
5,W_P,0.8597,log/pimaindians_diabetes/7/infgain/standard__noAug__ADASYN/random_forest,0.1,0.5,42
5,W_R,0.8312,log/pimaindians_diabetes/6/infgain/standard__mixup__SMOTE/random_forest,0.1,0.5,42
5,W_F1,0.8339,log/pimaindians_diabetes/8/noSelect/minmax__mixup__TomekLinks/random_forest,0.1,0.5,42
5,Acc,0.8312,log/pimaindians_diabetes/6/infgain/standard__mixup__SMOTE/random_forest,0.1,0.5,42
