Metric,Mean,Std
Accuracy,0.6406562187812187,0.10038503548125174
Macro_Precision,0.6697550597528762,0.06356117779451512
Macro_Recall,0.6679258171098448,0.073298125265966
Macro_F1,0.6265227007626626,0.10487572431558566
Weighted_Precision,0.7169769961356779,0.06377541331099262
Weighted_Recall,0.6406562187812187,0.10038503548125174
Weighted_F1,0.6346062013307736,0.1215785640512318
Micro_Precision,0.6406562187812187,0.10038503548125174
Micro_Recall,0.6406562187812187,0.10038503548125174
Micro_F1,0.6406562187812187,0.10038503548125173
Integrated_Score,0.6508976101263426,0.08906122875067943
