Prob_Threshold,LogDir,Norm_First,Split_Ratio,Timestamp,RunID,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score,NormOrder,FeatureNum,InfoGain,Pipeline,Model,Scaler,AugMethod,ImblMethod
0.35,log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__noIMB/DTmodel,True,0.1,2026-01-30 17:11:20,1769764270122_202fd60e,1769764270122_202fd60e17697642809690313,0.6233766233766234,0.5911015012207158,0.595,0.5920745530012772,0.6297335203366059,0.6233766233766234,0.6256810718017614,0.6233766233766234,0.6233766233766234,0.6233766233766234,0.613597495226837,First,4,biMaxInfgain,MinMax__gaussian_noise__noIMB,DTmodel,MinMax,gaussian_noise,noIMB
0.35,log/pimaindians_diabetes/5/infgain/Standard__mixup__noIMB/sklearn_SVM,True,0.1,2026-01-30 17:49:18,1769764270122_202fd60e,1769764270122_202fd60e17697665586907615,0.7337662337662338,0.7073319926261102,0.7055555555555555,0.7063706056140205,0.7326692914928209,0.7337662337662338,0.7331548518733275,0.7337662337662338,0.7337662337662338,0.7337662337662338,0.7239909960970443,First,5,infgain,Standard__mixup__noIMB,sklearn_SVM,Standard,mixup,noIMB
0.35,log/pimaindians_diabetes/7/biMeanInfgain/Standard__gaussian_noise__noIMB/XGBmodel,True,0.1,2026-01-30 19:10:32,1769764270122_202fd60e,1769764270122_202fd60e17697714327014678,0.7012987012987013,0.6751371357332087,0.6805555555555556,0.6767696360153257,0.7071091601245879,0.7012987012987013,0.7032486191968952,0.7012987012987013,0.7012987012987013,0.7012987012987013,0.6938024039426487,First,7,biMeanInfgain,Standard__gaussian_noise__noIMB,XGBmodel,Standard,gaussian_noise,noIMB
0.35,log/pimaindians_diabetes/5/infgain/Standard__mixup__noIMB/random_forest,True,0.2,2026-01-30 17:49:21,1769764270122_202fd60e,1769764270122_202fd60e17697665619925311,0.7175324675324675,0.69981402799549,0.7143518518518519,0.7022274968934451,0.7357939478226583,0.7175324675324675,0.7222912707826501,0.7175324675324675,0.7175324675324675,0.7175324675324675,0.715686784931401,First,5,infgain,Standard__mixup__noIMB,random_forest,Standard,mixup,noIMB
0.35,log/pimaindians_diabetes/5/infgain/Standard__mixup__noIMB/random_forest,True,0.1,2026-01-30 17:49:19,1769764270122_202fd60e,1769764270122_202fd60e17697665590193464,0.7597402597402598,0.7538150464027058,0.7766666666666666,0.7520531865455187,0.7942633362030007,0.7597402597402598,0.7648712360024317,0.7597402597402598,0.7597402597402598,0.7597402597402598,0.7639092722055336,First,5,infgain,Standard__mixup__noIMB,random_forest,Standard,mixup,noIMB
