Detail,MeanImportance,StdImportance,Rank
Model_DTmodel,0.5123448975763946,0.034260496449606846,1
Split_Ratio,0.12119589550383908,0.022964221661386626,2
FeatureNum,0.09232852457009268,0.006051641325205398,3
Prob_Threshold,0.04438938145081404,0.010022756937630571,4
FS_Method_infgain,0.03235426072822028,0.001330814020703995,5
FS_Method_biMaxInfgain,0.028326487729158165,0.0051895899132285124,6
Model_LogisticRegression,0.027193100054142102,0.005319329762883716,7
Scaler_standard,0.024142549005496613,0.002910720431896572,8
Scaler_minmax,0.02399798619192133,0.0021227913188920696,9
Model_XGBmodel,0.023702836228383373,0.005396813301109248,10
