Rank,Metric,Value,LogDir,Split_Ratio,P_th,R_St
1,M_P,0.8088,log/pimaindians_diabetes_v4/5/infgain/noAug__noImbl__minmax/sklearn_SVM,0.2,0.5,126
1,M_R,0.8224,log/pimaindians_diabetes_v4/7/infgain/minmax__noAug__noImbl/XGBmodel,0.2,0.35,126
1,M_F1,0.8127,log/pimaindians_diabetes_v4/7/infgain/noAug__noImbl__minmax/XGBmodel,0.2,0.35,126
1,m_P,0.8247,log/pimaindians_diabetes_v4/7/infgain/minmax__noAug__noImbl/XGBmodel,0.2,0.35,126
1,m_R,0.8247,log/pimaindians_diabetes_v4/7/infgain/minmax__noAug__noImbl/XGBmodel,0.2,0.35,126
1,m_F1,0.8247,log/pimaindians_diabetes_v4/7/infgain/minmax__noAug__noImbl/XGBmodel,0.2,0.35,126
1,W_P,0.8325,log/pimaindians_diabetes_v4/7/infgain/minmax__noAug__noImbl/XGBmodel,0.2,0.35,126
1,W_R,0.8247,log/pimaindians_diabetes_v4/7/infgain/minmax__noAug__noImbl/XGBmodel,0.2,0.35,126
1,W_F1,0.8268,log/pimaindians_diabetes_v4/7/infgain/noAug__noImbl__minmax/XGBmodel,0.2,0.35,126
1,Acc,0.8247,log/pimaindians_diabetes_v4/7/infgain/minmax__noAug__noImbl/XGBmodel,0.2,0.35,126
2,M_P,0.8088,log/pimaindians_diabetes_v4/6/infgain/minmax__noAug__noImbl/XGBmodel,0.2,0.5,126
2,M_R,0.8224,log/pimaindians_diabetes_v4/7/infgain/noAug__noImbl__minmax/XGBmodel,0.2,0.35,126
2,M_F1,0.8127,log/pimaindians_diabetes_v4/7/infgain/minmax__noAug__noImbl/XGBmodel,0.2,0.35,126
2,m_P,0.8247,log/pimaindians_diabetes_v4/7/infgain/noAug__noImbl__minmax/XGBmodel,0.2,0.35,126
2,m_R,0.8247,log/pimaindians_diabetes_v4/7/infgain/noAug__noImbl__minmax/XGBmodel,0.2,0.35,126
2,m_F1,0.8247,log/pimaindians_diabetes_v4/7/infgain/noAug__noImbl__minmax/XGBmodel,0.2,0.35,126
2,W_P,0.8325,log/pimaindians_diabetes_v4/7/infgain/noAug__noImbl__minmax/XGBmodel,0.2,0.35,126
2,W_R,0.8247,log/pimaindians_diabetes_v4/7/infgain/noAug__noImbl__minmax/XGBmodel,0.2,0.35,126
2,W_F1,0.8268,log/pimaindians_diabetes_v4/7/infgain/minmax__noAug__noImbl/XGBmodel,0.2,0.35,126
2,Acc,0.8247,log/pimaindians_diabetes_v4/7/infgain/noAug__noImbl__minmax/XGBmodel,0.2,0.35,126
3,M_P,0.8088,log/pimaindians_diabetes_v4/6/infgain/noAug__noImbl__minmax/XGBmodel,0.2,0.5,126
3,M_R,0.8081,log/pimaindians_diabetes_v4/8/noSelect/minmax__noAug__noImbl/XGBmodel,0.2,0.35,126
3,M_F1,0.7988,log/pimaindians_diabetes_v4/8/noSelect/minmax__noAug__noImbl/XGBmodel,0.2,0.35,126
3,m_P,0.8117,log/pimaindians_diabetes_v4/8/noSelect/noAug__noImbl__minmax/XGBmodel,0.2,0.35,126
3,m_R,0.8117,log/pimaindians_diabetes_v4/8/noSelect/noAug__noImbl__minmax/XGBmodel,0.2,0.35,126
3,m_F1,0.8117,log/pimaindians_diabetes_v4/8/noSelect/noAug__noImbl__minmax/XGBmodel,0.2,0.35,126
3,W_P,0.8197,log/pimaindians_diabetes_v4/8/noSelect/minmax__noAug__noImbl/XGBmodel,0.2,0.35,126
3,W_R,0.8117,log/pimaindians_diabetes_v4/8/noSelect/noAug__noImbl__minmax/XGBmodel,0.2,0.35,126
3,W_F1,0.8140,log/pimaindians_diabetes_v4/8/noSelect/noAug__noImbl__minmax/XGBmodel,0.2,0.35,126
3,Acc,0.8117,log/pimaindians_diabetes_v4/8/noSelect/noAug__noImbl__minmax/XGBmodel,0.2,0.35,126
4,M_P,0.8069,log/pimaindians_diabetes_v4/7/infgain/noAug__noImbl__minmax/XGBmodel,0.2,0.35,126
4,M_R,0.8081,log/pimaindians_diabetes_v4/8/noSelect/noAug__noImbl__minmax/XGBmodel,0.2,0.35,126
4,M_F1,0.7988,log/pimaindians_diabetes_v4/8/noSelect/noAug__noImbl__minmax/XGBmodel,0.2,0.35,126
4,m_P,0.8117,log/pimaindians_diabetes_v4/5/infgain/noAug__noImbl__minmax/sklearn_SVM,0.2,0.35,126
4,m_R,0.8117,log/pimaindians_diabetes_v4/5/infgain/noAug__noImbl__minmax/sklearn_SVM,0.2,0.35,126
4,m_F1,0.8117,log/pimaindians_diabetes_v4/5/infgain/noAug__noImbl__minmax/sklearn_SVM,0.2,0.35,126
4,W_P,0.8197,log/pimaindians_diabetes_v4/8/noSelect/noAug__noImbl__minmax/XGBmodel,0.2,0.35,126
4,W_R,0.8117,log/pimaindians_diabetes_v4/5/infgain/noAug__noImbl__minmax/sklearn_SVM,0.2,0.35,126
4,W_F1,0.8140,log/pimaindians_diabetes_v4/8/noSelect/minmax__noAug__noImbl/XGBmodel,0.2,0.35,126
4,Acc,0.8117,log/pimaindians_diabetes_v4/5/infgain/noAug__noImbl__minmax/sklearn_SVM,0.2,0.35,126
5,M_P,0.8069,log/pimaindians_diabetes_v4/7/infgain/minmax__noAug__noImbl/XGBmodel,0.2,0.35,126
5,M_R,0.7994,log/pimaindians_diabetes_v4/8/noSelect/noAug__noImbl__standard/GradientBoosting,0.2,0.35,126
5,M_F1,0.7895,log/pimaindians_diabetes_v4/7/infgain/standard__noAug__noImbl/sklearn_SVM,0.2,0.35,126
5,m_P,0.8117,log/pimaindians_diabetes_v4/8/noSelect/minmax__noAug__noImbl/XGBmodel,0.2,0.5,126
5,m_R,0.8117,log/pimaindians_diabetes_v4/8/noSelect/minmax__noAug__noImbl/XGBmodel,0.2,0.5,126
5,m_F1,0.8117,log/pimaindians_diabetes_v4/8/noSelect/minmax__noAug__noImbl/XGBmodel,0.2,0.5,126
5,W_P,0.8173,log/pimaindians_diabetes_v4/8/noSelect/noAug__noImbl__standard/GradientBoosting,0.2,0.35,126
5,W_R,0.8117,log/pimaindians_diabetes_v4/8/noSelect/minmax__noAug__noImbl/XGBmodel,0.2,0.5,126
5,W_F1,0.8083,log/pimaindians_diabetes_v4/5/infgain/minmax__noAug__noImbl/sklearn_SVM,0.2,0.35,126
5,Acc,0.8117,log/pimaindians_diabetes_v4/8/noSelect/minmax__noAug__noImbl/XGBmodel,0.2,0.5,126
