Metric,Mean,Std
Accuracy,0.7362689393939393,0.04123672569782763
Macro_Precision,0.7155362665791013,0.048732151557004895
Macro_Recall,0.6950745884773663,0.03674040016090628
Macro_F1,0.7003152155761084,0.03986718602882505
Weighted_Precision,0.7338957462028007,0.039357104625385844
Weighted_Recall,0.7362689393939393,0.04123672569782763
Weighted_F1,0.7309692405182194,0.03838274779169787
Micro_Precision,0.7362689393939393,0.04123672569782763
Micro_Recall,0.7362689393939393,0.04123672569782763
Micro_F1,0.7362689393939393,0.04123672569782762
Integrated_Score,0.7236509042976516,0.04033736059397922
