Metric,Model:LogisticRegression,Model:sklearn_SVM,Model:XGBmodel,Split_Ratio:0.1,Model:random_forest,FeatureNum:5.0,Scaler:standard,Model:GradientBoosting,FS_Method:infgain,Split_Ratio:0.25
Accuracy,0.7697164412322458,0.757622812346232,0.7505014913779282,0.7455507455507455,0.7436195649018924,0.7440638262499792,0.7430180393033601,0.7429720456480514,0.7425381317925769,0.7430394804526749
Macro_F1,0.7336097092689429,0.7151048098843251,0.716801982053378,0.7131110565091542,0.7126917680539833,0.7111168715738445,0.7105715810217522,0.7097078505253108,0.7064272961336396,0.7055416492601312
Macro_Precision,0.7548468124662291,0.7421206616829955,0.7275471612031686,0.724542434749036,0.7201374850815829,0.7219255786268074,0.7204200865051887,0.7190360361831654,0.721887252279437,0.7222438401341907
Macro_Recall,0.726097791042621,0.7059774026409716,0.7126614174093794,0.7096999314128943,0.7099458741596328,0.7071648276513254,0.7067286345329163,0.7061878061501028,0.7012850643899843,0.6998103924820342
Weighted_F1,0.7629324494127522,0.7481705236765084,0.7460600169895629,0.7415293532505873,0.740882314981345,0.7402691792658361,0.7395552312275642,0.73911996638798,0.7371394815989315,0.7369709965405032
Weighted_Precision,0.7673720950561826,0.7532741796283479,0.7470625351285598,0.7441923241919489,0.7420678427284547,0.7421330477797393,0.7410667755938327,0.7400793465641741,0.7402035372340285,0.7398631561525856
