Cluster,Part
10,AugName:gaussian_noise
1,AugName:mixup
1,AugName:noAug
7,FS_Method:biMaxInfgain
7,FS_Method:biMeanInfgain
7,ImblName:SMOTE
7,Model:random_forest
7,Norm_Order:last
7,Random_State:42.0
7,Scaler:minmax
6,FS_Method:infgain
6,FeatureNum:5.0
6,Norm_Order:first
6,Scaler:standard
4,FS_Method:noSelect
4,FeatureNum:6.0
4,FeatureNum:7.0
4,FeatureNum:8.0
9,FeatureNum:4.0
9,Split_Ratio:0.2
8,ImblName:ADASYN
8,Prob_Threshold:0.35
5,ImblName:RandomUnderSampler
2,ImblName:TomekLinks
2,ImblName:noImbl
2,Prob_Threshold:0.5
3,Split_Ratio:0.1
