Metric,FeatureNum:5.0,Split_Ratio:0.1,Scaler:standard,FS_Method:noSelect,FeatureNum:8.0,Norm_Order:last,AugName:noAug,ImblName:noImbl,Prob_Threshold:0.5,Norm_Order:first
Accuracy,0.048055450230457014,0.03898074940196214,0.044706992350801694,0.0510333253583685,0.0510333253583685,0.04243693612997799,0.04231748012776284,0.04231748012776284,0.04231748012776284,0.04229617708104977
Macro_F1,0.0480093584495967,0.042863988680969314,0.04695834700563627,0.04860562530830542,0.04860562530830542,0.042341037522851704,0.04225075483073548,0.04225075483073548,0.04225075483073548,0.04225857629736574
Macro_Precision,0.0544928354399153,0.04724511343289851,0.05194363974482293,0.05679769638956143,0.05679769638956143,0.04916897647672863,0.04892913743791781,0.04892913743791781,0.04892913743791781,0.048801987691651255
Macro_Recall,0.04530732477518795,0.04183892653631297,0.04523361430308561,0.04453105820776189,0.04453105820776189,0.03986802710938257,0.039797546846280465,0.039797546846280465,0.039797546846280465,0.03981951702898149
Weighted_F1,0.04560498625433453,0.03880263482402356,0.04349294239100458,0.04745218192630078,0.04745218192630078,0.04018379433303795,0.04008823733120961,0.04008823733120961,0.04008823733120961,0.04008573345052051
Weighted_Precision,0.04564823954745055,0.040373892734847504,0.044306300792759594,0.04662632162253937,0.04662632162253937,0.04076534639228248,0.040607668876010534,0.040607668876010534,0.040607668876010534,0.040543858001424196
