Weighted_Recall,FeatureNum,FS_Method,Scaler,AugName,ImblName,Model,Norm_Order,Prob_Threshold,Split_Ratio,Random_State,Timestamp,RunID,LogDir,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score
0.2597402597402597,7,biMeanInfgain,minmax,gaussian_noise,ADASYN,DTmodel,last,0.5,0.1,126,2026-02-22 20:26:27,20260222-075415,log/pimaindians_diabetes/7/biMeanInfgain/gaussian_noise__ADASYN__minmax/DTmodel,1771718062421_c4b64e6c17717631878307925,0.2597402597402597,0.2834051724137931,0.2766666666666666,0.2592405063291139,0.3120521719659651,0.2649876705572908,0.2597402597402597,0.2597402597402597,0.2597402597402597,0.269742731533707
0.3116883116883117,6,biMaxInfgain,minmax,gaussian_noise,SMOTE,DTmodel,last,0.5,0.1,126,2026-02-22 12:51:19,20260222-075415,log/pimaindians_diabetes/6/biMaxInfgain/gaussian_noise__SMOTE__minmax/DTmodel,1771718062421_c4b64e6c17717358796432726,0.3116883116883117,0.3238095238095237,0.3081481481481481,0.3041773231031543,0.3636363636363636,0.3257714152854817,0.3116883116883117,0.3116883116883117,0.3116883116883117,0.3187270389930236
0.3116883116883117,6,infgain,minmax,gaussian_noise,SMOTE,random_forest,last,0.35,0.1,2026,2026-02-21 05:35:27,20260220-191939,log/pimaindians_diabetes/6/infgain/gaussian_noise__SMOTE__minmax/random_forest,1771586390261_bd95089d17716233279594142,0.3116883116883117,0.3333333333333332,0.4103703703703703,0.2806275339326634,0.3423848878394332,0.2359776659089191,0.3116883116883117,0.3116883116883117,0.3116883116883117,0.3107749638058756
0.3246753246753247,4,biMaxInfgain,minmax,gaussian_noise,ADASYN,DTmodel,last,0.5,0.2,23,2026-02-22 07:54:59,20260222-075415,log/pimaindians_diabetes/4/biMaxInfgain/gaussian_noise__ADASYN__minmax/DTmodel,1771718062421_c4b64e6c17717180990606294,0.3246753246753247,0.3653508771929824,0.3862962962962962,0.319047619047619,0.3906356801093643,0.3005565862708719,0.3246753246753247,0.3246753246753247,0.3246753246753247,0.3370390460277677
0.3246753246753247,5,infgain,standard,gaussian_noise,SMOTE,random_forest,last,0.35,0.1,5012,2026-02-22 12:15:30,20260222-075415,log/pimaindians_diabetes/5/infgain/gaussian_noise__SMOTE__standard/random_forest,1771718062421_c4b64e6c17717337300509454,0.3246753246753247,0.2893835616438356,0.4544444444444444,0.2585185185185185,0.2776196406333392,0.1923617123617123,0.3246753246753247,0.3246753246753247,0.3246753246753247,0.2996469291743263
