Weighted_Precision,FeatureNum,FS_Method,Scaler,AugName,ImblName,Model,Norm_Order,Prob_Threshold,Split_Ratio,Random_State,Timestamp,RunID,LogDir,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score
0.1229549671108112,5,biMaxInfgain,standard,gaussian_noise,ADASYN,GradientBoosting,last,0.35,0.2,5012,2026-02-22 09:28:46,20260222-075415,log/pimaindians_diabetes/5/biMaxInfgain/gaussian_noise__ADASYN__standard/GradientBoosting,1771718062421_c4b64e6c17717237266978299,0.3506493506493506,0.1753246753246753,0.5,0.2596153846153846,0.3506493506493506,0.1820679320679321,0.3506493506493506,0.3506493506493506,0.3506493506493506,0.2863402020057863
0.3906356801093643,4,biMaxInfgain,minmax,gaussian_noise,ADASYN,DTmodel,last,0.5,0.2,23,2026-02-22 07:54:59,20260222-075415,log/pimaindians_diabetes/4/biMaxInfgain/gaussian_noise__ADASYN__minmax/DTmodel,1771718062421_c4b64e6c17717180990606294,0.3246753246753247,0.3653508771929824,0.3862962962962962,0.319047619047619,0.3246753246753247,0.3005565862708719,0.3246753246753247,0.3246753246753247,0.3246753246753247,0.3370390460277677
0.4285714285714285,6,infgain,standard,gaussian_noise,noImbl,DTmodel,first,0.35,0.2,5012,2026-02-22 18:23:32,20260222-075415,log/pimaindians_diabetes/6/infgain/standard__gaussian_noise__noImbl/DTmodel,1771718062421_c4b64e6c17717558126785859,0.4025974025974026,0.3787878787878788,0.3696296296296296,0.3719858156028368,0.4025974025974026,0.4134014921248963,0.4025974025974026,0.4025974025974026,0.4025974025974025,0.3965459508970146
0.430474697716077,5,biMaxInfgain,standard,gaussian_noise,ADASYN,DTmodel,last,0.5,0.2,126,2026-02-22 09:28:52,20260222-075415,log/pimaindians_diabetes/5/biMaxInfgain/gaussian_noise__ADASYN__standard/DTmodel,1771718062421_c4b64e6c17717237322689996,0.3506493506493506,0.4008620689655172,0.419074074074074,0.3435635123614663,0.3506493506493506,0.3231917272837988,0.3506493506493506,0.3506493506493506,0.3506493506493506,0.3653141102820967
0.4334934471920773,7,biMaxInfgain,minmax,gaussian_noise,SMOTE,DTmodel,last,0.35,0.2,126,2026-02-22 18:57:00,20260222-075415,log/pimaindians_diabetes/7/biMaxInfgain/gaussian_noise__SMOTE__minmax/DTmodel,1771718062421_c4b64e6c17717578200165858,0.3831168831168831,0.3905800777946896,0.3801851851851852,0.3735816741597088,0.3831168831168831,0.3966669168981308,0.3831168831168831,0.3831168831168831,0.3831168831168831,0.3892099129226243
