Metric,Model:sklearn_SVM,Split_Ratio:0.1,Model:LogisticRegression,Model:GradientBoosting,FS_Method:biMaxInfgain,FeatureNum:5.0,Model:random_forest,Model:XGBmodel,Scaler:standard,FeatureNum:7.0
Accuracy,0.7646103896103896,0.7573953823953824,0.7570346320346321,0.7514430014430015,0.7426948051948052,0.7417478354978355,0.7406204906204906,0.7400793650793651,0.7396885521885522,0.7392451298701298
Macro_F1,0.7226499497435926,0.7212711480317032,0.7167676704393108,0.7208383564359226,0.7105122461709562,0.7086511489805795,0.7095027895445902,0.708487360041292,0.7065170715973125,0.7060308293739809
Macro_Precision,0.7523358658572789,0.7392601405425457,0.7400006654466387,0.728610406708744,0.7213839521269851,0.7207915844650178,0.7167561827070191,0.7149306865889599,0.7172649690601941,0.7171391514984947
Macro_Recall,0.7119727366255144,0.7142061042524005,0.7076183127572017,0.7165637860082305,0.7064853395061729,0.7037596450617284,0.7065740740740741,0.7054475308641975,0.7023268175582991,0.7014332561728396
Weighted_F1,0.7548175435936986,0.7510580546060416,0.7486063670286782,0.7483525032671314,0.7390460050167964,0.7377121462565362,0.7377045664621414,0.7370192955092685,0.735734978245896,0.7352886292931932
Weighted_Precision,0.7605710032730185,0.7536979345865786,0.7517646576204294,0.7481861830256871,0.7410768362482107,0.7396642411988604,0.7383903188258514,0.7368169583828704,0.7372167135149789,0.7367555245640872
