Part_Label,Model:LogisticRegression,Model:sklearn_SVM,Model:XGBmodel,Split_Ratio:0.1,Model:random_forest,FeatureNum:4.0,Model:GradientBoosting,FeatureNum:5.0,Scaler:standard,FS_Method:biMaxInfgain
Model:LogisticRegression,,,,0.9832799784652024,,0.9930423397097607,,0.9725082997140214,0.9813213581109135,0.9736401987605762
Model:sklearn_SVM,,,,0.9633219417144928,,0.9787966296224013,,0.9484087876648882,0.9614624950339964,0.9498441835364324
Model:XGBmodel,,,,0.998880553066106,,0.9974197609248099,,0.9975919868358583,0.9996065634996811,0.9977323304324378
Split_Ratio:0.1,0.9832799784652024,0.9633219417144928,0.998880553066106,,0.9947059432660653,0.9978308637898939,0.9952909952433376,0.9985179948655608,0.9996166164939934,0.9988381140417047
Model:random_forest,,,,0.9947059432660653,,0.9859323063942336,,0.9986822841793758,0.9953624712118442,0.9984619073554651
FeatureNum:4.0,0.9930423397097607,0.9787966296224013,0.9974197609248099,0.9978308637898939,0.9859323063942336,,0.9873058449628415,,0.9970866432892631,0.9936733294432221
Model:GradientBoosting,,,,0.9952909952433376,,0.9873058449628415,,0.9990151443122435,0.9964677382630952,0.9987370418949474
FeatureNum:5.0,0.9725082997140214,0.9484087876648882,0.9975919868358583,0.9985179948655608,0.9986822841793758,,0.9990151443122435,,0.9989643496915599,0.999967554398161
Scaler:standard,0.9813213581109135,0.9614624950339964,0.9996065634996811,0.9996166164939934,0.9953624712118442,0.9970866432892631,0.9964677382630952,0.9989643496915599,,0.9990913757730983
FS_Method:biMaxInfgain,0.9736401987605762,0.9498441835364324,0.9977323304324378,0.9988381140417047,0.9984619073554651,0.9936733294432221,0.9987370418949474,0.999967554398161,0.9990913757730983,
