Part_Label,Split_Ratio:0.1,FS_Method:noSelect,FeatureNum:8.0,FS_Method:biMaxInfgain,FeatureNum:7.0,Scaler:standard,FeatureNum:5.0,Norm_Order:last,Prob_Threshold:0.5,AugName:noAug
Split_Ratio:0.1,,0.9998425083739938,0.9998425083739938,0.9988381140417047,0.9999616305969301,0.9996166164939934,0.9985179948655608,0.9999691053472552,0.9999695639360088,0.9999695639360088
FS_Method:noSelect,0.9998425083739938,,1.0,,0.9997196600500071,0.9990969128612417,0.9976485451483974,0.9998338585707616,0.9998299291374417,0.9998299291374417
FeatureNum:8.0,0.9998425083739938,1.0,,0.9980577858638641,,0.9990969128612417,,0.9998338585707616,0.9998299291374417,0.9998299291374417
FS_Method:biMaxInfgain,0.9988381140417047,,0.9980577858638641,,0.9991948333476596,0.9990913757730979,0.9999675543981631,0.9986396701001685,0.9986448597634001,0.9986448597634001
FeatureNum:7.0,0.9999616305969301,0.9997196600500071,,0.9991948333476596,,0.9996118234024607,,0.9998817647326721,0.999882811333385,0.999882811333385
Scaler:standard,0.9996166164939934,0.9990969128612417,0.9990969128612417,0.9990913757730979,0.9996118234024607,,0.9989643496915623,0.9996953378771113,0.9996993919975711,0.9996993919975711
FeatureNum:5.0,0.9985179948655608,0.9976485451483974,,0.9999675543981631,,0.9989643496915623,,0.9983368214218195,0.9983423522535347,0.9983423522535347
Norm_Order:last,0.9999691053472552,0.9998338585707616,0.9998338585707616,0.9986396701001685,0.9998817647326721,0.9996953378771113,0.9983368214218195,,0.9999999578663521,0.9999999578663521
Prob_Threshold:0.5,0.9999695639360088,0.9998299291374417,0.9998299291374417,0.9986448597634001,0.999882811333385,0.9996993919975711,0.9983423522535347,0.9999999578663521,,1.0
AugName:noAug,0.9999695639360088,0.9998299291374417,0.9998299291374417,0.9986448597634001,0.999882811333385,0.9996993919975711,0.9983423522535347,0.9999999578663521,1.0,
