Part_Label,FS_Method:noSelect,FeatureNum:8.0,FeatureNum:7.0,FeatureNum:5.0,FS_Method:infgain,Scaler:standard,Prob_Threshold:0.35,Norm_Order:first,AugName:noAug,Split_Ratio:0.2
FS_Method:noSelect,,1.0,0.9996829977420777,0.9884217110187747,,0.9910616816615151,0.9438206597797137,0.9937486089426464,0.9937244459675543,0.9937244459675543
FeatureNum:8.0,1.0,,,,0.985555883844207,0.9910616816615151,0.9438206597797137,0.9937486089426464,0.9937244459675543,0.9937244459675543
FeatureNum:7.0,0.9996829977420777,,,,0.9893821768521581,0.9935639615627347,0.9370473986259218,0.9962007321664542,0.9961828011515811,0.9961828011515811
FeatureNum:5.0,0.9884217110187747,,,,0.9956733381984803,0.9995299472473438,0.9072950519366222,0.9985415433341018,0.9985361345347452,0.9985361345347452
FS_Method:infgain,,0.985555883844207,0.9893821768521581,0.9956733381984803,,0.9932867019297287,0.8800417524523322,0.9974456547115926,0.9974720856533774,0.9974720856533774
Scaler:standard,0.9910616816615151,0.9910616816615151,0.9935639615627347,0.9995299472473438,0.9932867019297287,,0.9196661803054933,0.9982908819735611,0.9982747865827113,0.9982747865827113
Prob_Threshold:0.35,0.9438206597797137,0.9438206597797137,0.9370473986259218,0.9072950519366222,0.8800417524523322,0.9196661803054933,,0.9112056009015073,0.911061542663726,0.911061542663726
Norm_Order:first,0.9937486089426464,0.9937486089426464,0.9962007321664542,0.9985415433341018,0.9974456547115926,0.9982908819735611,0.9112056009015073,,0.9999999284863456,0.9999999284863456
AugName:noAug,0.9937244459675543,0.9937244459675543,0.9961828011515811,0.9985361345347452,0.9974720856533774,0.9982747865827113,0.911061542663726,0.9999999284863456,,1.0
Split_Ratio:0.2,0.9937244459675543,0.9937244459675543,0.9961828011515811,0.9985361345347452,0.9974720856533774,0.9982747865827113,0.911061542663726,0.9999999284863456,1.0,
