Part_Label,Model:LogisticRegression,Model:XGBmodel,Model:sklearn_SVM,FS_Method:biMaxInfgain,FeatureNum:7.0,Scaler:minmax,AugName:noAug,FS_Method:infgain,FeatureNum:4.0,FeatureNum:6.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Split_Ratio:0.2,Prob_Threshold:0.35,FS_Method:noSelect,FeatureNum:5.0,FeatureNum:8.0,Model:GradientBoosting,Scaler:standard,Model:random_forest,Prob_Threshold:0.5,Model:DTmodel
Norm_Order:first,0.993080042553415,0.9985361195738668,0.9510160947743532,0.9983267712559077,0.9962007321664542,0.9984132565424427,0.9999999284863438,0.9974456547115926,0.9963187541919969,0.9996734118594728,0.9999999284863438,,,0.9999999284863456,0.9112056009015078,0.9937486089426486,0.9985415433341045,0.9937486089426486,0.9940743560629015,0.9982908819735631,0.9357111195366431,0.9445700023050653,0.9840759098971406
Norm_Order:last,0.9931414209493422,0.9985317294194517,0.95124412597914,0.9982834486985316,0.9961647360449327,0.9984441076712601,0.9999999285524597,0.9974983618074581,0.9963734104907811,0.999686631540719,0.9999999285524597,,,0.9999999285524621,0.9109174208178812,0.9937001521335314,0.9985305855173572,0.9937001521335314,0.9939959330507256,0.9982585559523462,0.935536182441569,0.9447992627721639,0.9840172604378663
Split_Ratio:0.2,0.9931108098360538,0.9985339953648723,0.9511302047289077,0.9983051763277389,0.9961828011515811,0.9984287570421151,1.0,0.9974720856533774,0.996346159880125,0.9996800946862698,1.0,0.9999999284863456,0.9999999285524621,,0.9110615426637259,0.9937244459675549,0.9985361345347463,0.9937244459675549,0.9940352065438204,0.9982747865827116,0.935623697641931,0.944684726572173,0.9840466487267274
Prob_Threshold:0.35,0.8864003200369535,0.9037639153633871,0.7412104711902336,0.9301548210811874,0.9370473986259218,0.8999179754225963,0.9110615426637259,0.8800417524523322,0.8730645833598469,0.9013870682856451,0.9110615426637259,0.9112056009015078,0.9109174208178812,0.9110615426637259,,0.9438206597797149,0.9072950519366229,0.9438206597797149,0.9409148915864015,0.9196661803054943,0.9823048117386426,,0.901152394590782
FS_Method:noSelect,0.9893766115727911,0.9877093002826576,0.9200374478803879,,0.9996829977420782,0.9930681669589865,0.9937244459675549,,0.9813260855032165,0.9906195847557057,0.9937244459675549,0.9937486089426486,0.9937001521335314,0.9937244459675549,0.9438206597797149,,0.9884217110187747,1.0,0.9916204652418017,0.9910616816615151,0.9688245559947904,0.9081464754025693,0.9682169505374503
FeatureNum:5.0,0.9860958650095483,0.999959797691586,0.9486441887243885,0.9981438427183092,,0.9943746436843078,0.9985361345347463,0.9956733381984807,,,0.9985361345347463,0.9985415433341045,0.9985305855173572,0.9985361345347463,0.9072950519366229,0.9884217110187747,,,0.9956994624827904,0.9995299472473438,0.9238591119128243,0.9452372534894272,0.9920296020161655
FeatureNum:8.0,0.9893766115727911,0.9877093002826576,0.9200374478803879,0.994893585902358,,0.9930681669589865,0.9937244459675549,0.9855558838442068,,,0.9937244459675549,0.9937486089426486,0.9937001521335314,0.9937244459675549,0.9438206597797149,1.0,,,0.9916204652418017,0.9910616816615151,0.9688245559947904,0.9081464754025693,0.9682169505374503
Model:GradientBoosting,,,,0.9986343137566852,0.9929732343605692,0.9870410617937294,0.9940352065438204,0.9846288064639953,0.9842143511523801,0.9924900151231723,0.9940352065438204,0.9940743560629015,0.9939959330507256,0.9940352065438204,0.9409148915864015,0.9916204652418017,0.9956994624827904,0.9916204652418017,,0.9980122807975164,,0.9109769532910457,
Scaler:standard,0.9845357363819953,0.999225429078567,0.9391129662627455,0.9993981834343801,0.9935639615627347,,0.9982747865827116,0.9932867019297287,0.993343115018233,0.9979421631713585,0.9982747865827116,0.9982908819735631,0.9982585559523462,0.9982747865827116,0.9196661803054943,0.9910616816615151,0.9995299472473438,0.9910616816615151,0.9980122807975164,,0.9333113165468382,0.9349591444720012,0.9920604328745909
Model:random_forest,,,,0.9450992116477892,0.9625087263054584,0.9348199760975229,0.935623697641931,0.9135414310446949,0.9033530968065662,0.9265354804417133,0.935623697641931,0.9357111195366431,0.935536182441569,0.935623697641931,0.9823048117386426,0.9688245559947904,0.9238591119128243,0.9688245559947904,,0.9333113165468382,,0.7805328014724385,
Prob_Threshold:0.5,0.9528025153540387,0.948042861861203,0.9982220443409796,0.926665688876332,0.9176390765454554,0.9509267891022818,0.944684726572173,0.9651420884757179,0.9688130380545742,0.9518471366103578,0.944684726572173,0.9445700023050653,0.9447992627721639,0.944684726572173,,0.9081464754025693,0.9452372534894272,0.9081464754025693,0.9109769532910457,0.9349591444720012,0.7805328014724385,,0.9259341736428319
Model:DTmodel,,,,0.9881815121000191,0.9722783224053406,0.9732321278275282,0.9840466487267274,0.9782845184329446,0.9821195989475567,0.9852497451783393,0.9840466487267274,0.9840759098971406,0.9840172604378663,0.9840466487267274,0.901152394590782,0.9682169505374503,0.9920296020161655,0.9682169505374503,,0.9920604328745909,,0.9259341736428319,
