Part_Label,Model:LogisticRegression,Model:XGBmodel,Model:sklearn_SVM,FS_Method:biMaxInfgain,FeatureNum:7.0,Scaler:minmax,AugName:noAug,FS_Method:infgain,FeatureNum:4.0,FeatureNum:6.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Split_Ratio:0.2,Prob_Threshold:0.35,FS_Method:noSelect,FeatureNum:5.0,FeatureNum:8.0,Model:GradientBoosting,Scaler:standard,Model:random_forest,Prob_Threshold:0.5,Model:DTmodel
Model:LogisticRegression,,,,0.9859809022655468,0.9915634376359098,0.9980990385614635,0.9931108098360538,0.9952129371820617,0.9916164751974205,0.9926679207948439,0.9931108098360538,0.993080042553415,0.9931414209493422,0.9931108098360538,0.8864003200369535,0.9893766115727911,0.9860958650095483,0.9893766115727911,,0.9845357363819953,,0.9528025153540387,
Model:XGBmodel,,,,0.9976633997066092,0.9910745250586384,0.9946610929827056,0.9985339953648723,0.9962942181264496,0.9968802085251527,0.9990945899571707,0.9985339953648723,0.9985361195738668,0.9985317294194517,0.9985339953648723,0.9037639153633871,0.9877093002826576,0.999959797691586,0.9877093002826576,,0.999225429078567,,0.948042861861203,
Model:sklearn_SVM,,,,0.9327048911144539,0.9284531909060044,0.959538616559487,0.9511302047289077,0.9706624266009359,0.9724253818000125,0.957209904638715,0.9511302047289077,0.9510160947743532,0.95124412597914,0.9511302047289077,0.7412104711902336,0.9200374478803879,0.9486441887243885,0.9200374478803879,,0.9391129662627455,,0.9982220443409796,
FS_Method:biMaxInfgain,0.9859809022655468,0.9976633997066092,0.9327048911144539,,0.9965859283949068,0.9940497604400627,0.9983051763277389,,0.9908896064550108,0.9971555837330119,0.9983051763277389,0.9983267712559077,0.9982834486985316,0.9983051763277389,0.9301548210811874,,0.9981438427183092,0.994893585902358,0.9986343137566852,0.9993981834343801,0.9450992116477892,0.926665688876332,0.9881815121000191
FeatureNum:7.0,0.9915634376359098,0.9910745250586384,0.9284531909060044,0.9965859283949068,,0.9954766913531579,0.9961828011515811,0.9893821768521581,,,0.9961828011515811,0.9962007321664542,0.9961647360449327,0.9961828011515811,0.9370473986259218,0.9996829977420782,,,0.9929732343605692,0.9935639615627347,0.9625087263054584,0.9176390765454554,0.9722783224053406
Scaler:minmax,0.9980990385614635,0.9946610929827056,0.959538616559487,0.9940497604400627,0.9954766913531579,,0.9984287570421151,0.9982568907284131,0.9960061986005574,0.9981220188758362,0.9984287570421151,0.9984132565424427,0.9984441076712601,0.9984287570421151,0.8999179754225963,0.9930681669589865,0.9943746436843078,0.9930681669589865,0.9870410617937294,,0.9348199760975229,0.9509267891022818,0.9732321278275282
AugName:noAug,0.9931108098360538,0.9985339953648723,0.9511302047289077,0.9983051763277389,0.9961828011515811,0.9984287570421151,,0.9974720856533783,0.9963461598801229,0.9996800946862685,1.0,0.9999999284863438,0.9999999285524597,1.0,0.9110615426637259,0.9937244459675549,0.9985361345347463,0.9937244459675549,0.9940352065438204,0.9982747865827116,0.935623697641931,0.944684726572173,0.9840466487267274
FS_Method:infgain,0.9952129371820617,0.9962942181264496,0.9706624266009359,,0.9893821768521581,0.9982568907284131,0.9974720856533783,,0.999479034154299,0.9985987432454552,0.9974720856533774,0.9974456547115926,0.9974983618074581,0.9974720856533774,0.8800417524523322,,0.9956733381984807,0.9855558838442068,0.9846288064639953,0.9932867019297287,0.9135414310446949,0.9651420884757179,0.9782845184329446
FeatureNum:4.0,0.9916164751974205,0.9968802085251527,0.9724253818000125,0.9908896064550108,,0.9960061986005574,0.9963461598801229,0.999479034154299,,,0.996346159880125,0.9963187541919969,0.9963734104907811,0.996346159880125,0.8730645833598469,0.9813260855032165,,,0.9842143511523801,0.993343115018233,0.9033530968065662,0.9688130380545742,0.9821195989475567
FeatureNum:6.0,0.9926679207948439,0.9990945899571707,0.957209904638715,0.9971555837330119,,0.9981220188758362,0.9996800946862685,0.9985987432454552,,,0.9996800946862698,0.9996734118594728,0.999686631540719,0.9996800946862698,0.9013870682856451,0.9906195847557057,,,0.9924900151231723,0.9979421631713585,0.9265354804417133,0.9518471366103578,0.9852497451783393
ImblName:noImbl,0.9931108098360538,0.9985339953648723,0.9511302047289077,0.9983051763277389,0.9961828011515811,0.9984287570421151,1.0,0.9974720856533774,0.996346159880125,0.9996800946862698,,0.9999999284863438,0.9999999285524597,1.0,0.9110615426637259,0.9937244459675549,0.9985361345347463,0.9937244459675549,0.9940352065438204,0.9982747865827116,0.935623697641931,0.944684726572173,0.9840466487267274
