Part_Label,Model:sklearn_SVM,Model:LogisticRegression,Model:XGBmodel,Model:GradientBoosting,Model:random_forest,FS_Method:noSelect,FeatureNum:8.0,Prob_Threshold:0.5,Scaler:standard,FeatureNum:5.0
Model:sklearn_SVM,,,,,,0.9200374478803879,0.9200374478803879,0.9982220443409796,0.9391129662627455,0.9486441887243885
Model:LogisticRegression,,,,,,0.9893766115727911,0.9893766115727911,0.9528025153540387,0.9845357363819953,0.9860958650095483
Model:XGBmodel,,,,,,0.9877093002826576,0.9877093002826576,0.948042861861203,0.999225429078567,0.999959797691586
Model:GradientBoosting,,,,,,0.9916204652418014,0.9916204652418014,0.9109769532910457,0.9980122807975164,0.9956994624827902
Model:random_forest,,,,,,0.9688245559947933,0.9688245559947933,0.7805328014724385,0.9333113165468419,0.9238591119128278
FS_Method:noSelect,0.9200374478803879,0.9893766115727911,0.9877093002826576,0.9916204652418014,0.9688245559947933,,1.0,0.9081464754025693,0.9910616816615151,0.9884217110187747
FeatureNum:8.0,0.9200374478803879,0.9893766115727911,0.9877093002826576,0.9916204652418014,0.9688245559947933,1.0,,0.9081464754025693,0.9910616816615151,
Prob_Threshold:0.5,0.9982220443409796,0.9528025153540387,0.948042861861203,0.9109769532910457,0.7805328014724385,0.9081464754025693,0.9081464754025693,,0.9349591444720003,0.9452372534894277
Scaler:standard,0.9391129662627455,0.9845357363819953,0.999225429078567,0.9980122807975164,0.9333113165468419,0.9910616816615151,0.9910616816615151,0.9349591444720003,,0.9995299472473445
FeatureNum:5.0,0.9486441887243885,0.9860958650095483,0.999959797691586,0.9956994624827902,0.9238591119128278,0.9884217110187747,,0.9452372534894277,0.9995299472473445,
