Rank,Metric,Value,LogDir,Split_Ratio,P_th,R_St
1,M_P,0.8521,log/pimaindians_diabetes/4/infgain/standard__gaussian_noise__noImbl/sklearn_SVM,0.1,0.5,2026
1,M_R,0.8059,log/pimaindians_diabetes/5/biMaxInfgain/standard__mixup__SMOTE/sklearn_SVM,0.1,0.5,2026
1,M_F1,0.7840,log/pimaindians_diabetes/5/biMaxInfgain/standard__mixup__SMOTE/sklearn_SVM,0.1,0.5,2026
1,m_P,0.7922,log/pimaindians_diabetes/4/biMaxInfgain/noAug__TomekLinks__minmax/sklearn_SVM,0.1,0.35,2026
1,m_R,0.7922,log/pimaindians_diabetes/4/biMaxInfgain/noAug__TomekLinks__minmax/sklearn_SVM,0.1,0.35,2026
1,m_F1,0.7922,log/pimaindians_diabetes/4/biMaxInfgain/noAug__TomekLinks__minmax/sklearn_SVM,0.1,0.35,2026
1,W_P,0.8369,log/pimaindians_diabetes/6/biMeanInfgain/mixup__SMOTE__standard/sklearn_SVM,0.1,0.35,2026
1,W_R,0.7922,log/pimaindians_diabetes/4/biMaxInfgain/mixup__TomekLinks__standard/DTmodel,0.1,0.35,2026
1,W_F1,0.7966,log/pimaindians_diabetes/5/biMaxInfgain/standard__mixup__SMOTE/sklearn_SVM,0.1,0.5,2026
1,Acc,0.7922,log/pimaindians_diabetes/4/biMaxInfgain/noAug__TomekLinks__minmax/sklearn_SVM,0.1,0.35,2026
2,M_P,0.8472,log/pimaindians_diabetes/6/biMeanInfgain/minmax__gaussian_noise__noImbl/sklearn_SVM,0.1,0.5,2026
2,M_R,0.8059,log/pimaindians_diabetes/4/biMeanInfgain/noAug__TomekLinks__minmax/sklearn_SVM,0.1,0.35,2026
2,M_F1,0.7840,log/pimaindians_diabetes/4/biMaxInfgain/noAug__TomekLinks__minmax/sklearn_SVM,0.1,0.35,2026
2,m_P,0.7922,log/pimaindians_diabetes/5/biMaxInfgain/standard__mixup__SMOTE/sklearn_SVM,0.1,0.5,2026
2,m_R,0.7922,log/pimaindians_diabetes/5/biMaxInfgain/standard__mixup__SMOTE/sklearn_SVM,0.1,0.5,2026
2,m_F1,0.7922,log/pimaindians_diabetes/5/biMaxInfgain/standard__mixup__SMOTE/sklearn_SVM,0.1,0.5,2026
2,W_P,0.8350,log/pimaindians_diabetes/4/infgain/mixup__RandomUnderSampler__standard/LogisticRegression,0.1,0.35,2026
2,W_R,0.7922,log/pimaindians_diabetes/4/biMaxInfgain/standard__mixup__SMOTE/XGBmodel,0.1,0.5,2026
2,W_F1,0.7966,log/pimaindians_diabetes/4/biMeanInfgain/noAug__TomekLinks__minmax/sklearn_SVM,0.1,0.35,2026
2,Acc,0.7922,log/pimaindians_diabetes/5/biMaxInfgain/standard__mixup__SMOTE/sklearn_SVM,0.1,0.5,2026
