Model,nrrs
LogisticRegression,0.6666666666666667
sklearn_SVM,0.8205128205128206
DTmodel,1.0
random_forest,1.0512820512820513
XGBmodel,1.3434555652266584
GradientBoosting,1.5384615384615383
