Metric,AugName:noAug,FS_Method:biMaxInfgain,FS_Method:infgain,FS_Method:noSelect,FeatureNum:4.0,FeatureNum:5.0,FeatureNum:6.0,FeatureNum:7.0,FeatureNum:8.0,ImblName:noImbl,Model:DTmodel,Model:GradientBoosting,Model:LogisticRegression,Model:XGBmodel,Model:random_forest,Model:sklearn_SVM,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.35,Prob_Threshold:0.5,Scaler:minmax,Scaler:standard,Split_Ratio:0.1,Split_Ratio:0.2
Accuracy,0.731478976270643,0.7327516233766234,0.7314213564213564,0.7266188672438673,0.7339691558441559,0.7363140331890332,0.7312635281385282,0.7267992424242424,0.7266188672438673,0.731478976270643,0.6743626743626743,0.7381854256854257,0.7487974987974988,0.7459716209716211,0.7278138528138528,0.753742784992785,0.7314564293730961,0.7315015231681898,0.7226330767997434,0.7403248757415424,0.7236351611351611,0.7393227914061248,0.7375240500240501,0.7254339025172358
Macro_F1,0.7064465135959485,0.7087295862353266,0.7052231401518402,0.702207716814869,0.7081103397572625,0.7125555499319288,0.705299837463635,0.7019397256215072,0.702207716814869,0.7064465135959485,0.6439217036231851,0.7162636408554955,0.725750539463055,0.7213277282404151,0.7086244217858678,0.722791047607672,0.7064202944364476,0.7064727327554493,0.7056303988744772,0.7072626283174198,0.6983027566575437,0.7145902705343531,0.7128904461227703,0.7000025810691266
Macro_Precision,0.7132710223432775,0.713984595815046,0.7133399899947543,0.7101408578502975,0.7157259604429265,0.7176193341178294,0.7122354429938289,0.7090684340650159,0.7101408578502975,0.7132710223432775,0.6453270108138414,0.7196534221680587,0.7369698267319018,0.7258909836323203,0.7159589616152068,0.7358259290983367,0.7132434103230894,0.7132986343634659,0.7075979218933699,0.7189441227931854,0.7071239584732925,0.7194180862132628,0.7203218653868597,0.7062201792996956
Macro_Recall,0.7108043981481481,0.7134555041152263,0.7088707240226337,0.707934670781893,0.7111615869341564,0.7170119598765432,0.7091891718106996,0.707289737654321,0.707934670781893,0.7108043981481481,0.6458933470507545,0.7220713305898491,0.7315440672153635,0.7244778806584362,0.7197445130315501,0.7210952503429355,0.7107837505715592,0.710825045724737,0.7181018518518518,0.7035069444444444,0.7036176840420667,0.7179911122542295,0.7179798239597622,0.7036289723365341
Weighted_F1,0.7310122871598659,0.7327896830504859,0.7303830131801093,0.7264197995164117,0.7331166616634085,0.7363887042670874,0.7304119641341784,0.7264280623965162,0.7264197995164117,0.7310122871598659,0.6746230291485197,0.7390326615406647,0.7479601953352863,0.745454392027688,0.7292044656727786,0.7497989792342575,0.7309883151671152,0.7310362591526165,0.7257481356975994,0.7362764386221321,0.7229961805147718,0.7390283938049599,0.7368076242889433,0.7252169500307883
Weighted_Precision,0.7405691045745013,0.7418186724859419,0.7398159073541907,0.7385836218099817,0.7416315940471513,0.7450093171915627,0.7392520206526807,0.7373762277888704,0.7385836218099817,0.7405691045745013,0.6778682203073494,0.7481399508046216,0.7625478076692083,0.7516481556418356,0.7478210678721249,0.755389425151868,0.7405480456822758,0.7405901634667268,0.7423286418519491,0.7388095672970535,0.7351970275462567,0.7459411816027459,0.7474170639074353,0.7337211452415673
