,FeatureNum,FS_Method,Scaler,AugName,ImblName,Model,Norm_Order,Prob_Threshold,Split_Ratio
Accuracy,0.05445978448951163,0.05533845255273506,0.05349927093125391,0.05413823906511257,0.05413823906511257,0.04680047132091841,0.05414867909854274,0.05338038688823818,0.05275237147589107
Macro_Precision,0.05759583811093686,0.05859751978267345,0.05681110199995642,0.057138767402060454,0.057138767402060454,0.04766510763647336,0.057149777691195155,0.05683855557157787,0.05571701346068984
Macro_Recall,0.05720165674658968,0.05811901985449833,0.0564498319628739,0.056894918277658114,0.056894918277658114,0.0486359800586374,0.05690587564715323,0.05632128029636968,0.054893726241774576
Macro_F1,0.05656368479842864,0.05741755168417644,0.05571163076470566,0.05630409572164597,0.05630409572164597,0.04844700684440854,0.05631493910381055,0.05627669961284968,0.054452257571658245
Weighted_F1,0.053248875600111746,0.054082125459266196,0.052333346222298696,0.05298742304558388,0.05298742304558388,0.045919846606025404,0.05299763519223888,0.05267793552999367,0.05141278438642592
Weighted_Precision,0.05229936380715736,0.053279843825580396,0.05161477797801137,0.05188468177247604,0.05188468177247604,0.043263765736223515,0.0518946759467659,0.051848171819254996,0.050277873603934486
