Part_Label,AugMethod:gaussian_noise,Model:DTmodel,AugMethod:mixup,AugMethod:noAUG,Model:sklearn_SVM,ImblMethod:SMOTE,Prob_Threshold:0.35,Split_Ratio:0.2,ImblMethod:ADASYN,ImblMethod:TomekLinks,ImblMethod:noIMB,Prob_Threshold:0.5,FeatureNum:4.0,FeatureNum:5.0,FeatureNum:6.0,FeatureNum:7.0,FeatureNum:8.0,InfoGain:biMaxInfgain,InfoGain:biMeanInfgain,InfoGain:infgain,InfoGain:noSelect,Model:random_forest,NormOrder:First,NormOrder:Last,Scaler:MinMax,Scaler:Standard,ImblMethod:RandomUnderSampler,Model:XGBmodel,Model:GradientBoosting,Model:LogisticRegression,Split_Ratio:0.1
ImblMethod:noIMB,0.4815173093390813,0.9272543055758967,0.7247120920669903,0.6515607725819854,0.6483406908334015,,0.39622906645918343,0.6377318591358622,,,,0.9032154831193506,0.6510119885088907,0.5925239131695721,0.5868223482411892,0.5846172591427748,0.5876975456271525,0.5934226183586081,0.5952073525192317,0.6211920349124874,0.5876975456271525,0.5234074899620813,0.647296446331468,0.5616160655865526,0.6009734100582785,0.603047629987954,,0.5005299789255366,0.48745534988867306,0.5396871419414491,0.5669323193100504
Prob_Threshold:0.5,0.7641268503187973,0.9360920191044295,0.9365475774007294,0.9073624146275698,0.9068131598514327,0.7286900143877373,,0.8994036221724157,0.6755105784555268,0.9465330111897328,0.9032154831193506,,0.9085967931841533,0.8720237299003359,0.8692338449784921,0.8669669816722269,0.8681083930236021,0.8731437525584901,0.8742624101587231,0.8901436912468919,0.8681083930236021,0.8275179438457784,0.9064223783046277,0.8517440394737106,0.8777255638076072,0.8790621176707137,0.7700965259567282,0.8059070056302534,0.7972352205461923,0.8371951575003188,0.8566808648271366
FeatureNum:4.0,0.9433763251640784,0.737900679727631,0.9348993122418855,0.958803809050418,0.9998786970527147,0.9479637024731313,0.9520366691957444,0.9995807030390452,0.9207183325548738,0.7259958750733173,0.6510119885088907,0.9085967931841533,,,,,,0.9966077320398672,0.996827257672058,0.9989859364293947,0.9955151936826528,0.9855551671994921,0.9999357632662331,0.9922022374726482,0.997417048029963,0.9976055236294287,0.9639281229838285,0.9767371365745926,0.9738869477046147,0.9885299929262481,0.9934937632141452
FeatureNum:5.0,0.9642297181893902,0.6781853885698416,0.9075890500176153,0.9415526720251172,0.9965628899708467,0.9696786721486687,0.9737829621417892,0.9981684674538713,0.9498587854000856,0.6693578440965512,0.5925239131695721,0.8720237299003359,,,,,,0.9999530896991935,0.9999590232101839,0.9990784094390217,0.9999252694423134,0.9961584924870645,0.9969080884166514,0.999171075940997,0.9999147222781655,0.9998758286857544,0.9784650397443883,0.99132093798677,0.989585769312685,0.997383544401472,0.9994687779663619
FeatureNum:6.0,0.9634048543294681,0.6756710031698453,0.9081895375346029,0.9427456197628478,0.9962224485077887,0.9713778665300246,0.9750745610382955,0.9978068200146346,0.9514808011996521,0.6647865089658382,0.5868223482411892,0.8692338449784921,,,,,,0.999943797059388,0.999936456840593,0.998870611745671,0.9998521043388258,0.9966183126618807,0.9965950866395206,0.999292376780709,0.9998411566930573,0.9997929743667721,0.9802501232954967,0.9915877488687237,0.9899586825721177,0.9976363698425584,0.9996592036178347
FeatureNum:7.0,0.9660573416628425,0.6704340929930203,0.9041053357492786,0.9392945496839199,0.9956077800244564,0.9719895459622743,0.9760309662500324,0.9974560043214397,0.9530582145885661,0.6618183392162581,0.5846172591427748,0.8669669816722269,,,,,,0.9998884958991985,0.999861742502019,0.9985488970335222,0.9999507315242343,0.9970455217229234,0.9960437578942486,0.9995213749864424,0.9997189515641367,0.9996562814606552,0.9798983696834073,0.9926427688163739,0.9910525700397868,0.997909525296365,0.9997397107522339
FeatureNum:8.0,0.967330580597109,0.6708804460151551,0.9024889668756032,0.9375023482740824,0.9957567330319513,0.9710216711823989,0.9754307107208929,0.9976123629913924,0.9523367875757276,0.663894964363757,0.5876975456271525,0.8681083930236021,,,,,,0.9997934003132973,0.9997838266498115,0.9986516210116765,1.0,0.9966906326540361,0.9960479378409802,0.9994830056814323,0.9997040157962925,0.9996334667064487,0.9787385529284301,0.9925865035639257,0.9909426074202188,0.997948618632134,0.9995549080839093
InfoGain:biMaxInfgain,0.9625586286373926,0.680493591848932,0.9099867366541292,0.9435754743264533,0.996656567827009,0.9693630921964931,0.9732300915922883,0.998198861284202,0.9490953340176653,0.6708314763859392,0.5934226183586081,0.8731437525584901,0.9966077320398672,0.9999530896991935,0.999943797059388,0.9998884958991985,0.9997934003132973,,,,,0.9960998071812799,0.9971579648804294,0.9989720823300285,0.9999107631121369,0.9998939619045697,0.978508883319546,0.9908897137347086,0.9891361128614566,0.9969349317274975,0.9994537478651128
InfoGain:biMeanInfgain,0.9621750376894208,0.6823038472376657,0.910715547604806,0.9440369530314555,0.9968893501100923,0.9688345860984877,0.9727245432765422,0.9983690477123179,0.948356542961964,0.672507910109268,0.5952073525192317,0.8742624101587231,0.996827257672058,0.9999590232101839,0.999936456840593,0.999861742502019,0.9997838266498115,,,,,0.9958546599218947,0.9973417334045834,0.9988901301483704,0.9999494374842934,0.999935486875419,0.9782036716734777,0.9905541603785369,0.9887673909193634,0.9968549877593647,0.9993705473264015
InfoGain:infgain,0.9554612691351726,0.7075599493265109,0.920763199311393,0.9500252140652389,0.9991442456070082,0.9600083351204273,0.9641942500493885,0.999752893995712,0.9365946968972478,0.6969215638464047,0.6211920349124874,0.8901436912468919,0.9989859364293947,0.9990784094390217,0.998870611745671,0.9985488970335222,0.9986516210116765,,,,,0.9916114667013104,0.99910417784631,0.9966767471507866,0.9995284951373414,0.9995785873507255,0.9723766997259994,0.9849558672881863,0.9826852090555962,0.9942845638441143,0.9973032415741112
InfoGain:noSelect,0.967330580597109,0.6708804460151551,0.9024889668756032,0.9375023482740824,0.9957567330319513,0.9710216711823989,0.9754307107208929,0.9976123629913924,0.9523367875757276,0.663894964363757,0.5876975456271525,0.8681083930236021,0.9955151936826528,0.9999252694423134,0.9998521043388258,0.9999507315242343,1.0,,,,,0.9966906326540361,0.9960479378409802,0.9994830056814323,0.9997040157962925,0.9996334667064487,0.9787385529284301,0.9925865035639257,0.9909426074202188,0.997948618632134,0.9995549080839093
Model:random_forest,0.9732447864977477,,0.8797752423354704,0.9236213663869747,,0.9861381812846548,0.989128699077885,0.9890740166477626,0.9727501295385687,0.6044053374368223,0.5234074899620813,0.8275179438457784,0.9855551671994921,0.9961584924870645,0.9966183126618807,0.9970455217229234,0.9966906326540361,0.9960998071812799,0.9958546599218947,0.9916114667013104,0.9966906326540361,,0.9867250012999911,0.9986386668279356,0.9950425507296159,0.9948050939226724,0.9886745195198896,,,,0.9984129924430458
NormOrder:First,0.9449687022535077,0.7336274308936199,0.933381122308567,0.957912633945559,0.999718807423409,0.9496392371418872,0.9537053025135482,0.999653216867238,0.9229952242657992,0.722493376023133,0.647296446331468,0.9064223783046277,0.9999357632662331,0.9969080884166514,0.9965950866395206,0.9960437578942486,0.9960479378409802,0.9971579648804294,0.9973417334045834,0.99910417784631,0.9960479378409802,0.9867250012999911,,,0.9978250768922021,0.9980131208562739,0.9649268241354874,0.9781732680152112,0.975391742278729,0.9891215592348476,0.9942183204462534
NormOrder:Last,0.9712434892636007,0.6481238221560212,0.8928302728732888,0.9316580535908029,0.9925728656990261,0.9780500911092228,0.9820060429419966,0.9949660800039424,0.9616131048612466,0.6395081723802797,0.5616160655865526,0.8517440394737106,0.9922022374726482,0.999171075940997,0.999292376780709,0.9995213749864424,0.9994830056814323,0.9989720823300285,0.9988901301483704,0.9966767471507866,0.9994830056814323,0.9986386668279356,,,0.9985811533780489,0.9984215661517089,0.983668500665913,0.9955849436954504,0.9944183456290812,0.9993234689713423,0.9997908114207938
Scaler:MinMax,0.9611905068554418,0.6875924255808364,0.9125523393708771,0.9450503180806582,0.9975343110474341,0.9670480875031284,0.9710615978213959,0.9988224402302356,0.9460025911874038,0.6777887903300075,0.6009734100582785,0.8777255638076072,0.997417048029963,0.9999147222781655,0.9998411566930573,0.9997189515641367,0.9997040157962925,0.9999107631121369,0.9999494374842934,0.9995284951373414,0.9997040157962925,0.9950425507296159,0.9978250768922021,0.9985811533780489,,,0.9770224199532,0.989521582427391,0.987630065962121,0.9965331923672769,0.9990477689235219
Scaler:Standard,0.9605612467067844,0.6895870519100286,0.9135591523058841,0.9457048409296656,0.9976903705779593,0.9663762704519854,0.9703899131866137,0.9989356494667576,0.9451017947839868,0.6798127511967432,0.603047629987954,0.8790621176707137,0.9976055236294287,0.9998758286857544,0.9997929743667721,0.9996562814606552,0.9996334667064487,0.9998939619045697,0.999935486875419,0.9995785873507255,0.9996334667064487,0.9948050939226724,0.9980131208562739,0.9984215661517089,,,0.976551830234138,0.9891510102565032,0.9872198722174038,0.996260774118463,0.9989405275406615
ImblMethod:RandomUnderSampler,0.9455923379588539,0.5679198651429312,0.8717554868220418,0.9243303594304745,0.9647579771976255,,0.9923736921254852,0.9672503470245696,,,,0.7700965259567282,0.9639281229838285,0.9784650397443883,0.9802501232954967,0.9798983696834073,0.9787385529284301,0.978508883319546,0.9782036716734777,0.9723766997259994,0.9787385529284301,0.9886745195198896,0.9649268241354874,0.983668500665913,0.9770224199532,0.976551830234138,,0.9841464134833435,0.9852907930028534,0.9870272557986309,0.9838061671644938
Model:XGBmodel,0.9849578111934428,,0.8498240314518328,0.8982803616337822,,0.9873084477396284,0.9920987518056825,0.9819720938663498,0.9798850457696139,0.577297529664135,0.5005299789255366,0.8059070056302534,0.9767371365745926,0.99132093798677,0.9915877488687237,0.9926427688163739,0.9925865035639257,0.9908897137347086,0.9905541603785369,0.9849558672881863,0.9925865035639257,,0.9781732680152112,0.9955849436954504,0.989521582427391,0.9891510102565032,0.9841464134833435,,,,0.9942715410987851
Model:GradientBoosting,0.984936023938352,,0.8447988724806937,0.894933240903788,,0.9892808510621618,0.9937576276762331,0.9793776992314581,0.9827676670776185,0.5651293670800636,0.48745534988867306,0.7972352205461923,0.9738869477046147,0.989585769312685,0.9899586825721177,0.9910525700397868,0.9909426074202188,0.9891361128614566,0.9887673909193634,0.9826852090555962,0.9909426074202188,,0.975391742278729,0.9944183456290812,0.987630065962121,0.9872198722174038,0.9852907930028534,,,,0.9930111837723922
Model:LogisticRegression,0.9737063489779408,,0.883329879044856,0.925375852948088,,0.982668264591507,0.9863458581161437,0.9919018592460397,0.967870720333536,0.6185524233419939,0.5396871419414491,0.8371951575003188,0.9885299929262481,0.997383544401472,0.9976363698425584,0.997909525296365,0.997948618632134,0.9969349317274975,0.9968549877593647,0.9942845638441143,0.997948618632134,,0.9891215592348476,0.9993234689713423,0.9965331923672769,0.996260774118463,0.9870272557986309,,,,0.9986000467951822
Split_Ratio:0.1,0.9668465586491772,0.6572587144516951,0.900350191445768,0.9378570423469922,0.9936969180425931,0.9768240588917132,0.980220928171215,,0.9588617879105658,0.6460953231573331,0.5669323193100504,0.8566808648271366,0.9934937632141452,0.9994687779663619,0.9996592036178347,0.9997397107522339,0.9995549080839093,0.9994537478651128,0.9993705473264015,0.9973032415741112,0.9995549080839093,0.9984129924430458,0.9942183204462534,0.9997908114207938,0.9990477689235219,0.9989405275406615,0.9838061671644938,0.9942715410987851,0.9930111837723922,0.9986000467951822,
