Part_Label,AugMethod:gaussian_noise,Model:DTmodel,AugMethod:mixup,AugMethod:noAUG,Model:sklearn_SVM,ImblMethod:SMOTE,Prob_Threshold:0.35,Split_Ratio:0.2,ImblMethod:ADASYN,ImblMethod:TomekLinks,ImblMethod:noIMB,Prob_Threshold:0.5,FeatureNum:4.0,FeatureNum:5.0,FeatureNum:6.0,FeatureNum:7.0,FeatureNum:8.0,InfoGain:biMaxInfgain,InfoGain:biMeanInfgain,InfoGain:infgain,InfoGain:noSelect,Model:random_forest,NormOrder:First,NormOrder:Last,Scaler:MinMax,Scaler:Standard,ImblMethod:RandomUnderSampler,Model:XGBmodel,Model:GradientBoosting,Model:LogisticRegression,Split_Ratio:0.1
AugMethod:gaussian_noise,,0.5015519982022031,,,0.9446954891834279,0.9613570221215201,0.9729046241021158,0.9524807850917125,0.9674613049159789,0.539583299536112,0.4815173093390813,0.7641268503187973,0.9433763251640784,0.9642297181893902,0.9634048543294681,0.9660573416628425,0.967330580597109,0.9625586286373926,0.9621750376894208,0.9554612691351726,0.967330580597109,0.9732447864977477,0.9449687022535077,0.9712434892636007,0.9611905068554418,0.9605612467067844,0.9455923379588539,0.9849578111934428,0.984936023938352,0.9737063489779408,0.9668465586491772
Model:DTmodel,0.5015519982022031,,0.8828724133258993,0.8193607065550775,,0.4995578191587528,0.5019709704658061,0.7201664758690899,0.42096958050209726,0.9665332755219397,0.9272543055758967,0.9360920191044295,0.737900679727631,0.6781853885698416,0.6756710031698453,0.6704340929930203,0.6708804460151551,0.680493591848932,0.6823038472376657,0.7075599493265109,0.6708804460151551,,0.7336274308936199,0.6481238221560212,0.6875924255808364,0.6895870519100286,0.5679198651429312,,,,0.6572587144516951
AugMethod:mixup,,0.8828724133258993,,,0.9330852803257544,0.8246432356041116,0.8187247719710808,0.9244806365379714,0.7658191323441704,0.812913979278108,0.7247120920669903,0.9365475774007294,0.9348993122418855,0.9075890500176153,0.9081895375346029,0.9041053357492786,0.9024889668756032,0.9099867366541292,0.910715547604806,0.920763199311393,0.9024889668756032,0.8797752423354704,0.933381122308567,0.8928302728732888,0.9125523393708771,0.9135591523058841,0.8717554868220418,0.8498240314518328,0.8447988724806937,0.883329879044856,0.900350191445768
AugMethod:noAUG,,0.8193607065550775,,,0.9575830301675281,0.8857541846549944,0.8790354607512142,0.9512583174194226,0.8356723279909273,0.747029090769109,0.6515607725819854,0.9073624146275698,0.958803809050418,0.9415526720251172,0.9427456197628478,0.9392945496839199,0.9375023482740824,0.9435754743264533,0.9440369530314555,0.9500252140652389,0.9375023482740824,0.9236213663869747,0.957912633945559,0.9316580535908029,0.9450503180806582,0.9457048409296656,0.9243303594304745,0.8982803616337822,0.894933240903788,0.925375852948088,0.9378570423469922
Model:sklearn_SVM,0.9446954891834279,,0.9330852803257544,0.9575830301675281,,0.9489570307963947,0.9530757552457182,0.999573785037204,0.922003758533235,0.723182142549871,0.6483406908334015,0.9068131598514327,0.9998786970527147,0.9965628899708467,0.9962224485077887,0.9956077800244564,0.9957567330319513,0.996656567827009,0.9968893501100923,0.9991442456070082,0.9957567330319513,,0.999718807423409,0.9925728656990261,0.9975343110474341,0.9976903705779593,0.9647579771976255,,,,0.9936969180425931
ImblMethod:SMOTE,0.9613570221215201,0.4995578191587528,0.8246432356041116,0.8857541846549944,0.9489570307963947,,0.9989549671078005,0.9539322451979689,,,,0.7286900143877373,0.9479637024731313,0.9696786721486687,0.9713778665300246,0.9719895459622743,0.9710216711823989,0.9693630921964931,0.9688345860984877,0.9600083351204273,0.9710216711823989,0.9861381812846548,0.9496392371418872,0.9780500911092228,0.9670480875031284,0.9663762704519854,,0.9873084477396284,0.9892808510621618,0.982668264591507,0.9768240588917132
Prob_Threshold:0.35,0.9729046241021158,0.5019709704658061,0.8187247719710808,0.8790354607512142,0.9530757552457182,0.9989549671078005,,0.9585881889645224,0.9957988137830548,0.4829003161233067,0.39622906645918343,,0.9520366691957444,0.9737829621417892,0.9750745610382955,0.9760309662500324,0.9754307107208929,0.9732300915922883,0.9727245432765422,0.9641942500493885,0.9754307107208929,0.989128699077885,0.9537053025135482,0.9820060429419966,0.9710615978213959,0.9703899131866137,0.9923736921254852,0.9920987518056825,0.9937576276762331,0.9863458581161437,0.980220928171215
Split_Ratio:0.2,0.9524807850917125,0.7201664758690899,0.9244806365379714,0.9512583174194226,0.999573785037204,0.9539322451979689,0.9585881889645224,,0.9294425485487261,0.7118498712621825,0.6377318591358622,0.8994036221724157,0.9995807030390452,0.9981684674538713,0.9978068200146346,0.9974560043214397,0.9976123629913924,0.998198861284202,0.9983690477123179,0.999752893995712,0.9976123629913924,0.9890740166477626,0.999653216867238,0.9949660800039424,0.9988224402302356,0.9989356494667576,0.9672503470245696,0.9819720938663498,0.9793776992314581,0.9919018592460397,
ImblMethod:ADASYN,0.9674613049159789,0.42096958050209726,0.7658191323441704,0.8356723279909273,0.922003758533235,,0.9957988137830548,0.9294425485487261,,,,0.6755105784555268,0.9207183325548738,0.9498587854000856,0.9514808011996521,0.9530582145885661,0.9523367875757276,0.9490953340176653,0.948356542961964,0.9365946968972478,0.9523367875757276,0.9727501295385687,0.9229952242657992,0.9616131048612466,0.9460025911874038,0.9451017947839868,,0.9798850457696139,0.9827676670776185,0.967870720333536,0.9588617879105658
ImblMethod:TomekLinks,0.539583299536112,0.9665332755219397,0.812913979278108,0.747029090769109,0.723182142549871,,0.4829003161233067,0.7118498712621825,,,,0.9465330111897328,0.7259958750733173,0.6693578440965512,0.6647865089658382,0.6618183392162581,0.663894964363757,0.6708314763859392,0.672507910109268,0.6969215638464047,0.663894964363757,0.6044053374368223,0.722493376023133,0.6395081723802797,0.6777887903300075,0.6798127511967432,,0.577297529664135,0.5651293670800636,0.6185524233419939,0.6460953231573331
