Metric,Model:sklearn_SVM,Model:LogisticRegression,Model:XGBmodel,Model:GradientBoosting,Model:random_forest,FS_Method:noSelect,FeatureNum:8.0,Prob_Threshold:0.5,Scaler:standard,FeatureNum:5.0
Accuracy,0.7506012506012506,0.7420334295334294,0.7389369889369889,0.7297378547378548,0.7242664742664743,0.7261453823953824,0.7261453823953824,0.7350689434022767,0.7273528940195606,0.7275883838383838
Macro_F1,0.7187866574862765,0.7168674198508247,0.7144565395042946,0.7064904961053924,0.7047024683323628,0.7030604293297549,0.7030604293297549,0.7013766112593925,0.7028822440407207,0.7023291588826301
Macro_Precision,0.7317210178811229,0.7266365741535714,0.71908526855322,0.7094893893086512,0.7112622817187614,0.7095929909393002,0.7095929909393002,0.7133044828003499,0.7070449811302865,0.7069315363589226
Macro_Recall,0.7160733882030178,0.7199271262002744,0.7174639917695473,0.7114849108367627,0.7153566529492456,0.708531378600823,0.708531378600823,0.6972447988111569,0.70663808870599,0.7055459104938272
Weighted_F1,0.7465418980674088,0.740983866468921,0.7388073957141293,0.7305146162197602,0.7258580929710791,0.726710320586574,0.726710320586574,0.7309938777186834,0.727707217826731,0.7275768932903778
Weighted_Precision,0.7509434696042653,0.7512321034153994,0.745314786620265,0.7383749135103322,0.7434554004483572,0.738093752610099,0.738093752610099,0.733371347642126,0.7350390673108647,0.7344652642787488
