F1,Timestamp,RunID,LogDir,Class,Accuracy,Macro_F1,Weighted_F1,Precision,Recall,Support,TP,FN,FP,TN,Norm_First,Split_Ratio,Prob_Threshold,Model_RunID
0.0,2026-02-04 00:12:54,1770071966168_8d52732c,log/pimaindians_diabetes/20260203-063916/6/biMaxInfgain/gaussian_noise__ADASYN__MinMax/GradientBoosting,0,0.3506493506493506,0.2596153846153846,0.1820679320679321,0.0,0.0,50.0,0,50,0,27,False,0.1,0.35,1770071966168_8d52732c17701351744432154
0.0,2026-02-04 00:40:35,1770071966168_8d52732c,log/pimaindians_diabetes/20260203-063916/6/biMeanInfgain/gaussian_noise__ADASYN__MinMax/XGBmodel,0,0.3506493506493506,0.2596153846153846,0.1820679320679321,0.0,0.0,50.0,0,50,0,27,False,0.1,0.35,1770071966168_8d52732c17701368356392191
0.0,2026-01-30 19:12:11,1769764270122_202fd60e,log/pimaindians_diabetes/20260130-171105/7/biMeanInfgain/gaussian_noise__ADASYN__Standard/GradientBoosting,0,0.3506493506493506,0.2596153846153846,0.1820679320679321,0.0,0.0,50.0,0,50,0,27,False,0.1,0.35,1769764270122_202fd60e17697715312317930
0.0,2026-01-30 19:02:43,1769764270122_202fd60e,log/pimaindians_diabetes/20260130-171105/7/biMaxInfgain/gaussian_noise__ADASYN__Standard/GradientBoosting,0,0.3506493506493506,0.2596153846153846,0.1820679320679321,0.0,0.0,50.0,0,50,0,27,False,0.1,0.35,1769764270122_202fd60e17697709636763374
0.0,2026-01-31 04:23:18,1769799643988_de279966,log/pimaindians_diabetes/20260131-030035/5/biMeanInfgain/gaussian_noise__ADASYN__MinMax/XGBmodel,0,0.3506493506493506,0.2596153846153846,0.1820679320679321,0.0,0.0,50.0,0,50,0,27,False,0.1,0.35,1769799643988_de27996617698045988563289
