Micro_Recall,FeatureNum,FS_Method,Scaler,AugName,ImblName,Model,Norm_Order,Prob_Threshold,Split_Ratio,Random_State,Timestamp,RunID,LogDir,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_F1,Integrated_Score
0.8831168831168831,4,biMaxInfgain,standard,mixup,noImbl,sklearn_SVM,last,0.35,0.1,126,2026-02-22 08:20:57,20260222-075415,log/pimaindians_diabetes/4/biMaxInfgain/mixup__noImbl__standard/sklearn_SVM,1771718062421_c4b64e6c17717196571344015,0.8831168831168831,0.8698979591836735,0.875925925925926,0.8727272727272728,0.8843758282533793,0.8831168831168831,0.8835891381345928,0.8831168831168831,0.8831168831168831,0.8797141862123308
0.8831168831168831,4,biMeanInfgain,standard,mixup,noImbl,sklearn_SVM,first,0.35,0.1,126,2026-02-22 08:41:10,20260222-075415,log/pimaindians_diabetes/4/biMeanInfgain/standard__mixup__noImbl/sklearn_SVM,1771718062421_c4b64e6c17717208706416300,0.8831168831168831,0.8698979591836735,0.875925925925926,0.8727272727272728,0.8843758282533793,0.8831168831168831,0.8835891381345928,0.8831168831168831,0.8831168831168831,0.8797141862123308
0.8701298701298701,5,biMaxInfgain,standard,noAug,noImbl,XGBmodel,first,0.35,0.1,126,2026-02-22 10:21:40,20260222-075415,log/pimaindians_diabetes/5/biMaxInfgain/standard__noAug__noImbl/XGBmodel,1771718062421_c4b64e6c17717269001334927,0.8701298701298701,0.8560606060606061,0.882962962962963,0.8634751773049645,0.885478158205431,0.8701298701298701,0.8724785852445426,0.8701298701298701,0.8701298701298701,0.8708951851572739
0.8701298701298701,4,biMeanInfgain,standard,mixup,noImbl,XGBmodel,last,0.5,0.1,126,2026-02-22 08:41:37,20260222-075415,log/pimaindians_diabetes/4/biMeanInfgain/mixup__noImbl__standard/XGBmodel,1771718062421_c4b64e6c17717208970909376,0.8701298701298701,0.8623076923076922,0.8488888888888889,0.8548265460030167,0.868971028971029,0.8701298701298701,0.868905604199722,0.8701298701298701,0.8701298701298701,0.8646285315991197
0.8701298701298701,5,biMeanInfgain,standard,noAug,noImbl,XGBmodel,first,0.35,0.1,126,2026-02-22 11:24:00,20260222-075415,log/pimaindians_diabetes/5/biMeanInfgain/standard__noAug__noImbl/XGBmodel,1771718062421_c4b64e6c17717306406633626,0.8701298701298701,0.8560606060606061,0.882962962962963,0.8634751773049645,0.885478158205431,0.8701298701298701,0.8724785852445426,0.8701298701298701,0.8701298701298701,0.8708951851572739
