Part_Label,AugMethod:noAUG,AugMethod:mixup,Model:sklearn_SVM,Model:GradientBoosting,Split_Ratio:0.1,ImblMethod:TomekLinks,Model:LogisticRegression,Model:XGBmodel,Prob_Threshold:0.5,ImblMethod:noIMB
AugMethod:noAUG,,,0.9575830301675281,0.894933240903788,0.9378570423469922,0.747029090769109,0.925375852948088,0.8982803616337822,0.9073624146275698,0.6515607725819854
AugMethod:mixup,,,0.9330852803257544,0.8447988724806937,0.900350191445768,0.812913979278108,0.883329879044856,0.8498240314518328,0.9365475774007294,0.7247120920669903
Model:sklearn_SVM,0.9575830301675281,0.9330852803257544,,,0.9936969180425931,0.723182142549871,,,0.9068131598514327,0.6483406908334015
Model:GradientBoosting,0.894933240903788,0.8447988724806937,,,0.9930111837723922,0.5651293670800615,,,0.7972352205461914,0.4874553498886734
Split_Ratio:0.1,0.9378570423469922,0.900350191445768,0.9936969180425931,0.9930111837723922,,0.6460953231573315,0.9986000467951817,0.9942715410987855,0.8566808648271359,0.5669323193100511
ImblMethod:TomekLinks,0.747029090769109,0.812913979278108,0.723182142549871,0.5651293670800615,0.6460953231573315,,0.6185524233419939,0.577297529664135,0.9465330111897328,
Model:LogisticRegression,0.925375852948088,0.883329879044856,,,0.9986000467951817,0.6185524233419939,,,0.8371951575003187,0.5396871419414503
Model:XGBmodel,0.8982803616337822,0.8498240314518328,,,0.9942715410987855,0.577297529664135,,,0.8059070056302521,0.5005299789255366
Prob_Threshold:0.5,0.9073624146275698,0.9365475774007294,0.9068131598514327,0.7972352205461914,0.8566808648271359,0.9465330111897328,0.8371951575003187,0.8059070056302521,,0.9032154831193518
ImblMethod:noIMB,0.6515607725819854,0.7247120920669903,0.6483406908334015,0.4874553498886734,0.5669323193100511,,0.5396871419414503,0.5005299789255366,0.9032154831193518,
