Part_Label,Split_Ratio:0.1,ImblMethod:ADASYN,Model:GradientBoosting,Model:XGBmodel,ImblMethod:SMOTE,Model:random_forest,Prob_Threshold:0.35,FeatureNum:7.0,FeatureNum:8.0,InfoGain:noSelect
Split_Ratio:0.1,,0.9588617879105649,0.993011183772392,0.9942715410987855,0.9768240588917142,0.9984129924430453,0.9802209281712138,0.999739710752235,0.9995549080839081,0.9995549080839081
ImblMethod:ADASYN,0.9588617879105649,,0.9827676670776185,0.9798850457696139,,0.9727501295385687,0.995798813783055,0.9530582145885661,0.9523367875757276,0.9523367875757276
Model:GradientBoosting,0.993011183772392,0.9827676670776185,,,0.9892808510621628,,0.9937576276762323,0.991052570039788,0.9909426074202177,0.9909426074202177
Model:XGBmodel,0.9942715410987855,0.9798850457696139,,,0.9873084477396292,,0.9920987518056812,0.9926427688163746,0.9925865035639241,0.9925865035639241
ImblMethod:SMOTE,0.9768240588917142,,0.9892808510621628,0.9873084477396292,,0.9861381812846548,0.9989549671078005,0.9719895459622743,0.9710216711823989,0.9710216711823989
Model:random_forest,0.9984129924430453,0.9727501295385687,,,0.9861381812846548,,0.9891286990778845,0.9970455217229248,0.9966906326540355,0.9966906326540355
Prob_Threshold:0.35,0.9802209281712138,0.995798813783055,0.9937576276762323,0.9920987518056812,0.9989549671078005,0.9891286990778845,,0.9760309662500324,0.9754307107208929,0.9754307107208929
FeatureNum:7.0,0.999739710752235,0.9530582145885661,0.991052570039788,0.9926427688163746,0.9719895459622743,0.9970455217229248,0.9760309662500324,,,0.9999507315242343
FeatureNum:8.0,0.9995549080839081,0.9523367875757276,0.9909426074202177,0.9925865035639241,0.9710216711823989,0.9966906326540355,0.9754307107208929,,,1.0
InfoGain:noSelect,0.9995549080839081,0.9523367875757276,0.9909426074202177,0.9925865035639241,0.9710216711823989,0.9966906326540355,0.9754307107208929,0.9999507315242343,1.0,
