Metric,Model:sklearn_SVM,Model:LogisticRegression,Model:XGBmodel,FS_Method:noSelect,FeatureNum:8.0,FeatureNum:5.0,Prob_Threshold:0.35,Model:GradientBoosting,FS_Method:infgain,Scaler:minmax
Accuracy,0.7803030303030303,0.7745310245310245,0.7716450216450217,0.7667748917748919,0.7667748917748919,0.756628787878788,0.7485269360269361,0.7509018759018758,0.7539569805194805,0.7548100048100048
Macro_F1,0.7476587202794164,0.7496730301708968,0.7505033127699856,0.7436272997022649,0.7436272997022649,0.7320120367808954,0.7322310003663829,0.7295663486978416,0.7270885960964576,0.7267913822845045
Macro_Precision,0.7689948295777008,0.7624146877495375,0.7555187036611678,0.7529792622380033,0.7529792622380033,0.7397967828919487,0.7317888818366255,0.7336872878639564,0.7383727757685287,0.7382928008416267
Macro_Recall,0.7418621399176955,0.7510236625514404,0.7540072016460905,0.7477430555555555,0.7477430555555555,0.7343846450617284,0.7436008230452674,0.7366152263374485,0.7284008487654322,0.7269847393689987
Weighted_F1,0.774329071093563,0.7723424958741086,0.771610772020917,0.7657224744631428,0.7657224744631428,0.7555689916021265,0.7514423001903786,0.7514593653127419,0.751842258462816,0.7522023623672461
Weighted_Precision,0.780980045136625,0.7822051029969833,0.7789898673882956,0.7764273275798419,0.7764273275798419,0.763353431274779,0.7643043834129123,0.7619088245927522,0.760461498276407,0.7594842881927186
