Part_Label,Model:LogisticRegression,Model:sklearn_SVM,Model:XGBmodel,Model:GradientBoosting,Scaler:standard,Split_Ratio:0.1,FeatureNum:5.0,Model:random_forest,Prob_Threshold:0.5,FeatureNum:4.0
Model:LogisticRegression,,,,,0.9635092802541079,0.98731055348168,0.974046586007062,,0.9019552687101215,0.9772794833817201
Model:sklearn_SVM,,,,,0.9555153249326861,0.9488856658739787,0.943599816456867,,0.9960764806446823,0.9702007894347552
Model:XGBmodel,,,,,0.9997696224671814,0.9910209063752684,0.9965824597016498,,0.9513018694904998,0.9956817395750018
Model:GradientBoosting,,,,,0.9911090207054161,0.9921078569566938,0.9965135015673472,,0.8979434816906693,0.9842330648826223
Scaler:standard,0.9635092802541079,0.9555153249326861,0.9997696224671814,0.9911090207054161,,0.9934231308457269,0.9980735368571159,0.9126723417076292,0.947699167152607,0.996590361530631
Split_Ratio:0.1,0.98731055348168,0.9488856658739787,0.9910209063752684,0.9921078569566938,0.9934231308457269,,0.9974319008190446,0.9468863358507743,0.9311065632542519,0.9962381242460477
FeatureNum:5.0,0.974046586007062,0.943599816456867,0.9965824597016498,0.9965135015673472,0.9980735368571159,0.9974319008190446,,0.9362072995001364,0.9309075596903049,
Model:random_forest,,,,,0.9126723417076292,0.9468863358507743,0.9362072995001364,,0.7695229634168647,0.9160255518558734
Prob_Threshold:0.5,0.9019552687101215,0.9960764806446823,0.9513018694904998,0.8979434816906693,0.947699167152607,0.9311065632542519,0.9309075596903049,0.7695229634168647,,0.9583644244993145
FeatureNum:4.0,0.9772794833817201,0.9702007894347552,0.9956817395750018,0.9842330648826223,0.996590361530631,0.9962381242460477,,0.9160255518558734,0.9583644244993145,
