Metric,Model:LogisticRegression,Split_Ratio:0.2,FeatureNum:4.0,Scaler:standard,Model:XGBmodel,Model:sklearn_SVM,FS_Method:infgain,Model:GradientBoosting,Prob_Threshold:0.5,FeatureNum:5.0
Accuracy,0.7152777777777778,0.7172017797017797,0.7160781926406926,0.7148118085618086,0.7141955266955268,0.7141955266955268,0.7065746753246752,0.7046356421356421,0.7130982443482444,0.7026515151515151
Macro_F1,0.6943679339364134,0.6918848594393938,0.6903644995749292,0.6877647625736089,0.6834563606120398,0.682115307744087,0.679618527773897,0.6813032225100419,0.6774339624445076,0.6784841419127715
Macro_Precision,0.7061763145663496,0.6982975512238312,0.6983722736245562,0.6927082580799498,0.6910788199174942,0.6912031038064795,0.6887750045982447,0.6858677432508663,0.6873960868197976,0.6831074387201493
Macro_Recall,0.7044521604938272,0.696803840877915,0.6946865354938271,0.6909902263374486,0.684866255144033,0.6842155349794239,0.6852281057098765,0.6877391975308642,0.675167609739369,0.6852353395061729
Weighted_F1,0.7159674949405181,0.7171104737885228,0.7157314422152173,0.7144494812843135,0.7121142616205296,0.7112320949227297,0.7056938863704451,0.705905768791227,0.7089718843552114,0.703540375339936
Weighted_Precision,0.7371167543053458,0.727327147160032,0.7264342968815732,0.7212500114213483,0.7177742042980797,0.7180279854555862,0.7183117111880565,0.7172295472114594,0.7113283078097923,0.7149555520755779
