Part_Label,AugName:noAug,AugName:mixup,Model:sklearn_SVM,Split_Ratio:0.1,Model:GradientBoosting,Model:XGBmodel,ImblName:TomekLinks,Model:LogisticRegression,Prob_Threshold:0.5,ImblName:noImbl
AugName:noAug,,,0.9734636502545063,0.970113429264448,0.9546389491929409,0.9584165935239675,0.8618508022997359,0.9281831730488991,0.9047138219720697,0.7431867703499895
AugName:mixup,,,0.9553730498749123,0.9458623468827517,0.9233344338273881,0.929465395997291,0.9043380350073833,0.8876345820989133,0.9387613488215721,0.7996171970665952
Model:sklearn_SVM,0.9734636502545063,0.9553730498749123,,0.9979624341880475,,,0.8483801539670498,,0.890482432461077,0.7435079996131438
Split_Ratio:0.1,0.970113429264448,0.9458623468827517,0.9979624341880475,,0.997582934717849,0.9987146289192308,0.8155266571091848,0.9876411683348819,0.8623953105186839,0.7018141349281842
Model:GradientBoosting,0.9546389491929409,0.9233344338273881,,0.997582934717849,,,0.777613062751447,,0.8281377724906175,0.6593077227246722
Model:XGBmodel,0.9584165935239675,0.929465395997291,,0.9987146289192308,,,0.7913450696700958,,0.8402939773220957,0.6756840056242152
ImblName:TomekLinks,0.8618508022997359,0.9043380350073833,0.8483801539670498,0.8155266571091848,0.777613062751447,0.7913450696700958,,0.7232562412243226,0.9957472643553256,
Model:LogisticRegression,0.9281831730488991,0.8876345820989133,,0.9876411683348819,,,0.7232562412243226,,0.7781247405964941,0.6001619687034484
Prob_Threshold:0.5,0.9047138219720697,0.9387613488215721,0.890482432461077,0.8623953105186839,0.8281377724906175,0.8402939773220957,0.9957472643553256,0.7781247405964941,,0.9572693259644202
ImblName:noImbl,0.7431867703499895,0.7996171970665952,0.7435079996131438,0.7018141349281842,0.6593077227246722,0.6756840056242152,,0.6001619687034484,0.9572693259644202,
