Part_Label,Split_Ratio:0.1,ImblName:ADASYN,Model:XGBmodel,Model:GradientBoosting,ImblName:SMOTE,Model:random_forest,Scaler:standard,Prob_Threshold:0.35,FeatureNum:7.0,FS_Method:biMeanInfgain
Split_Ratio:0.1,,0.9713334567481763,0.9987146289192308,0.997582934717849,0.9876376381729023,0.9952472375069642,0.9953436011290239,0.9791034524532726,0.9998592139579742,0.9998094207561499
ImblName:ADASYN,0.9713334567481763,,0.9805054643230388,0.9845902371175346,,0.9893858796801865,0.9513767310409769,0.9992971689291075,0.971958144137438,0.9747297664974542
Model:XGBmodel,0.9987146289192308,0.9805054643230388,,,0.9920696258895952,,0.9926393576894765,0.9865475973091363,0.9989507237556198,0.9993495513975664
Model:GradientBoosting,0.997582934717849,0.9845902371175346,,,0.9943981368307009,,0.9898297366005125,0.9898666205275635,0.9978283298313527,0.9985010920598502
ImblName:SMOTE,0.9876376381729023,,0.9920696258895952,0.9943981368307009,,0.9966619068676185,0.9703472456965057,0.9978203584647738,0.9873902685020908,0.989295854266164
Model:random_forest,0.9952472375069642,0.9893858796801865,,,0.9966619068676185,,0.9854851328804362,0.993651059810089,0.9955833516755711,0.9966117943007453
Scaler:standard,0.9953436011290239,0.9513767310409769,0.9926393576894765,0.9898297366005125,0.9703472456965057,0.9854851328804362,,0.9613302957858865,0.9961149999844564,0.9950037904249971
Prob_Threshold:0.35,0.9791034524532726,0.9992971689291075,0.9865475973091363,0.9898666205275635,0.9978203584647738,0.993651059810089,0.9613302957858865,,0.9796659363447585,0.9820196242234757
FeatureNum:7.0,0.9998592139579742,0.971958144137438,0.9989507237556198,0.9978283298313527,0.9873902685020908,0.9955833516755711,0.9961149999844564,0.9796659363447585,,0.9999210166974665
FS_Method:biMeanInfgain,0.9998094207561499,0.9747297664974542,0.9993495513975664,0.9985010920598502,0.989295854266164,0.9966117943007453,0.9950037904249971,0.9820196242234757,0.9999210166974665,
