Metric,Model:sklearn_SVM,AugName:noAug,AugName:mixup,Model:LogisticRegression,ImblName:TomekLinks,Split_Ratio:0.1,Prob_Threshold:0.5,ImblName:noImbl,Scaler:standard,FS_Method:biMeanInfgain
Accuracy,0.6883429070929071,0.6814341908091908,0.6846445221445221,0.671416083916084,0.6745840964590966,0.6573773448773449,0.6702200577200578,0.674245892995893,0.6548638861138861,0.6549231150793651
Macro_F1,0.6675991427079239,0.6680317337157884,0.6679424579202089,0.6539341376658966,0.6478725283444888,0.6412209376233315,0.6453417955557724,0.6431701226347856,0.6369232748968147,0.6368895865672238
Macro_Precision,0.6925302066505599,0.6794103902287151,0.6764169624407625,0.6856640057876147,0.6593246593052053,0.6691549784979116,0.6563142026154952,0.6552185092903399,0.663370343037451,0.6625143990054132
Macro_Recall,0.692002849002849,0.6898455009496677,0.6854180021367521,0.6840366215574548,0.6597555100506489,0.6717264957264957,0.6578741096866098,0.6519355907723963,0.6653448480531814,0.6646548675411522
Weighted_F1,0.686289515675559,0.6855588706673788,0.68808812059311,0.6696400072006176,0.6738822908970974,0.6558466676737114,0.6704923675778525,0.6718982372838692,0.6529710467761178,0.6532995380713612
Weighted_Precision,0.7322312748407784,0.7215962237248372,0.7162583972064972,0.7300402182305383,0.694709513923604,0.7132537454003589,0.6924124362387153,0.688381768750198,0.7064114006521619,0.7054179315411515
