Metric,Model:LogisticRegression,Model:sklearn_SVM,Model:XGBmodel,Model:GradientBoosting,FeatureNum:6.0,Model:random_forest,FS_Method:biMaxInfgain,Scaler:minmax,Norm_Order:first,FS_Method:infgain
Accuracy,0.7456709956709956,0.7447691197691197,0.724025974025974,0.7236652236652237,0.7218614718614719,0.7193362193362193,0.7180059523809524,0.7191558441558442,0.7186748436748437,0.7201028138528138
Macro_F1,0.7062491290433419,0.7031561543605623,0.6936040274561198,0.6916630870438981,0.6888186574179564,0.6910415378327226,0.6872542278094951,0.6859996361108228,0.6858431763967953,0.6847599309614915
Macro_Precision,0.7235904826414059,0.7233124601335905,0.6968306638863062,0.6963526016197245,0.696420636420061,0.6919324819828673,0.6925162980008664,0.6947177211858792,0.6934865593568453,0.6947267756069458
Macro_Recall,0.6986316872427983,0.6950977366255144,0.6919032921810699,0.6892592592592592,0.6860956790123457,0.6911316872427984,0.6858333333333334,0.6832235939643347,0.6832475994513032,0.680792824074074
Weighted_F1,0.7383538765386085,0.7363147358088983,0.7223541658328169,0.7212303488640339,0.7188376023100019,0.7188775149292441,0.7162595907440963,0.7160999458080937,0.7158647740215806,0.7160316170257851
Weighted_Precision,0.7391183613200992,0.7378835145606236,0.7219805641544292,0.7207133620915641,0.7198930324812958,0.7192655848524729,0.7177665895524363,0.7180331930110077,0.7172925849956925,0.7169556908938798
