Metric,Model:sklearn_SVM,AugName:mixup,AugName:noAug,Random_State:126.0,Model:LogisticRegression,ImblName:TomekLinks,Random_State:42.0,ImblName:noImbl,Random_State:7.0,Prob_Threshold:0.5
Accuracy,0.7091821373071373,0.7100056193806193,0.705299734987235,0.6996083777333777,0.6867778055278055,0.7032386016761017,0.6862654706404706,0.7053721741221741,0.6857597263847264,0.6979105963480963
Macro_F1,0.688674689753325,0.6939309738150868,0.6919670862474262,0.6819626955648891,0.6707180333207687,0.6767447915156612,0.6688189622089495,0.674569752645485,0.6684747943820111,0.6731297058087121
Macro_Precision,0.7176207077073192,0.7039042586375759,0.704864515787486,0.7127748490044441,0.7136546077773096,0.6911303056338214,0.6972015837542049,0.6909897878871716,0.699195462724082,0.6875920353826074
Macro_Recall,0.7125788421968978,0.7115315739751504,0.7140419337606837,0.7105361269389047,0.7066766579613802,0.6874128853078506,0.6989575765669516,0.6820241851983749,0.6971992521367522,0.6852887797430621
Weighted_F1,0.7060823583409622,0.712594521695436,0.7083691123915208,0.6961884358703636,0.6820925003724436,0.701527250675766,0.6834769275303764,0.7018465081345175,0.6824936098696793,0.696868191362774
Weighted_Precision,0.7542647395700428,0.7415062773946947,0.7452018682548099,0.7522024181045058,0.757759090913828,0.7224476730563545,0.7395638084625419,0.7194160948372217,0.7393711749034471,0.7201217453320995
