Metric,Scaler:standard,Model:random_forest,FeatureNum:5.0,Split_Ratio:0.1,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,Norm_Order:last,Model:XGBmodel,Random_State:7.0,FeatureNum:6.0
Accuracy,0.6926413863913864,0.6769834332334332,0.6900477994227994,0.6854395604395604,0.6871888528138529,0.6861144931457431,0.678962703962704,0.6844426406926407,0.6857597263847264,0.6867138648388649
Macro_F1,0.6746680005248203,0.6611824204414142,0.6739954856260593,0.6676676061705079,0.6701897486314655,0.669141385952483,0.6619863791219579,0.6685761537886641,0.6684747943820111,0.6680278962977463
Macro_Precision,0.708411090936385,0.6999021796450487,0.70468237279857,0.7008177942603191,0.7007737396892074,0.7009258978177111,0.6960211260706766,0.7008793351731907,0.699195462724082,0.6979332605049183
Macro_Recall,0.704619341563786,0.6990439814814815,0.7038614540466392,0.6970202991452991,0.6993630722736626,0.6987265946502058,0.6936740265906933,0.7018129154795821,0.6971992521367522,0.6947200788751715
Weighted_F1,0.6878566015579605,0.6705694810228586,0.6869342498518327,0.6814383572096075,0.6837072173716743,0.6824836975937448,0.6747053662766926,0.6799901291023306,0.6824936098696793,0.6830857449787501
Weighted_Precision,0.7478606728699254,0.743080314516228,0.7452812289929677,0.7408416568427186,0.7406587951876096,0.741140565722468,0.7373323477686987,0.7421412404720852,0.7393711749034471,0.7364758927144643
