Metric,AugName_gaussian_noise,AugName_mixup,AugName_noAug,FS_Method_biMaxInfgain,FS_Method_biMeanInfgain,FS_Method_infgain,FS_Method_noSelect,FeatureNum,ImblName_ADASYN,ImblName_RandomUnderSampler,ImblName_SMOTE,ImblName_TomekLinks,ImblName_noImbl,Model_random_forest,Norm_Order_first,Norm_Order_last,Prob_Threshold,Random_State,Scaler_minmax,Scaler_standard,Split_Ratio
Accuracy,0.541228176561653,0.0028460633835323905,0.002743518372122855,0.009214006913938748,0.009363254355527617,0.015276477035595482,0.002132507137710384,0.043166001046251366,0.021572589755847,0.009710009300999354,0.012494475824039336,0.034033199056228904,0.034279410484613235,0.0,0.012859982317863974,0.011579406488624867,0.16198762445812342,0.0,0.017387764263758827,0.017210497585259166,0.04091503565830987
Macro_F1,0.6067060973942034,0.0025356590043825716,0.0024006512097162545,0.009380260822005342,0.009425867489440763,0.015628188226578278,0.002228214579858196,0.044583279328075175,0.025044610773814643,0.019273225032071142,0.01495474642270727,0.0313518271714211,0.03160579326869481,0.0,0.012331068424405725,0.011703754903679739,0.08767174790604455,0.0,0.015467825398613215,0.014789772030510346,0.04291741061377752
Macro_Precision,0.5497527264221823,0.004537826434575882,0.004419514933235315,0.019334200007914314,0.019370872121212714,0.02953457050887768,0.0044833063762247756,0.08247498453637497,0.021302515361803803,0.015404730127070776,0.017147107556162146,0.015948597732226743,0.016887340009425524,0.0,0.01609328668517277,0.015153412776365586,0.045191913802445534,0.0,0.01941225417956173,0.019345596184958163,0.08420524424420918
Macro_Recall,0.6636004932887548,0.004477995052060288,0.004529842397517128,0.011884873368186217,0.012452009742459264,0.02039297337878319,0.003009836013934324,0.05701962593233088,0.014930119338607719,0.017720292616391964,0.012842609092160841,0.012987219847969361,0.015443457536229242,0.0,0.010052290594793553,0.010020458678306811,0.037040790791417935,0.0,0.013796075354688273,0.013952105926974524,0.0638469310484335
Weighted_F1,0.5319018143186777,0.0019396768267685332,0.0018993330054946323,0.008335052748692692,0.00857685662707362,0.014178860285128048,0.0018849354423832415,0.04156346780744753,0.0272720784932564,0.015831627324817837,0.014519225739827104,0.04136298775741963,0.039554894863292576,0.0,0.01147615287359588,0.010893632160241848,0.1619795152972346,0.0,0.016260729127767628,0.016993504484553005,0.033575654816327724
Weighted_Precision,0.4731033782591485,0.0056027610991271435,0.005604263370842652,0.02337705442909179,0.022929349119747647,0.033776287936704265,0.004706127210794848,0.09727984970450715,0.024623071517869605,0.023770228893584325,0.019373553498294106,0.016252011446019704,0.021268004904783585,0.0,0.021883571062617974,0.021280472691338943,0.05072828611770965,0.0,0.023139800771004006,0.023336537331395357,0.08796539063541858
