Detail,MeanImportance,StdImportance,Rank
AugName_gaussian_noise,0.5610487810407699,0.06588754202878581,1
Prob_Threshold,0.09076664639549593,0.05782710941267183,2
FeatureNum,0.06101453472583118,0.023488650815075156,3
Split_Ratio,0.0589042778360794,0.023365996237650424,4
ImblName_noImbl,0.026506483511173167,0.009990420572636624,5
ImblName_TomekLinks,0.025322640501880905,0.011762901464591476,6
ImblName_ADASYN,0.02245749754019986,0.004320683360276826,7
FS_Method_infgain,0.02146455956194449,0.008286000710533674,8
Scaler_standard,0.017604668923941757,0.0033964362838772937,9
Scaler_minmax,0.017577408182565615,0.003311353112170985,10
