Detail,MeanImportance,StdImportance,Rank
Model_DTmodel,0.19933631994010573,0.035780764116492704,1
Split_Ratio,0.18641934683058078,0.015596021686330869,2
FeatureNum,0.15875413315600656,0.0068706140918881,3
Prob_Threshold,0.08553187843113808,0.021637131701471263,4
Scaler_standard,0.06178190829381203,0.016179102684066693,5
Scaler_minmax,0.056770072052303215,0.010856876348143663,6
Model_LogisticRegression,0.0410279420735448,0.00943630781797276,7
FS_Method_infgain,0.03932023033958915,0.0036201286562560263,8
FS_Method_biMaxInfgain,0.03730366024531994,0.0031089501371188042,9
Model_sklearn_SVM,0.0354413381479442,0.005114021966199446,10
