Metric,Split_Ratio:0.1,ImblMethod:ADASYN,Model:GradientBoosting,Model:XGBmodel,ImblMethod:SMOTE,Model:random_forest,Prob_Threshold:0.35,FeatureNum:7.0,FeatureNum:8.0,InfoGain:noSelect
Accuracy,0.09308211415028818,0.1155085990095893,0.09686359676676243,0.10031539277488169,0.10168521049788748,0.0966532784237058,0.09925802903138461,0.0910862255135576,0.08918209823931682,0.08918209823931682
Macro_F1,0.10048168527589779,0.1257237448372396,0.10661932994886066,0.10865091802799343,0.10779123531136277,0.10473766295851283,0.10676628321465555,0.09782532800882628,0.09509750028090926,0.09509750028090926
Macro_Precision,0.06800840493875117,0.07371669681685611,0.04978459004922306,0.054181672467348646,0.0688276391922421,0.06343795299758122,0.06365498812379616,0.06358543711702239,0.062122484653877166,0.062122484653877166
Macro_Recall,0.08339445464878564,0.09173809317584143,0.07400546285459011,0.07674903080752365,0.08420221610269615,0.0817382643219238,0.07958017447481305,0.07848974996719067,0.07656082184258431,0.07656082184258431
Weighted_F1,0.10873446026305111,0.1435090217685732,0.12154103631297083,0.12370393262233569,0.12062647757090193,0.11511566280464162,0.12152972723939971,0.10792291287556882,0.10481830863838759,0.10481830863838759
Weighted_Precision,0.06844074913099912,0.0748179465350563,0.04992909635323771,0.05340212258046655,0.06909950749992402,0.06318769325046426,0.06544330274320204,0.06419057403893397,0.06226680546390071,0.06226680546390071
