,biMaxInfgain,infgain,noSelect
biMaxInfgain,0.0,0.029069518459916184,0.03343853838439192
infgain,0.029069518459916184,0.0,0.03987757859928348
noSelect,0.03343853838439192,0.03987757859928348,0.0
