Cluster,Part
1,AugMethod:gaussian_noise
3,AugMethod:mixup
3,AugMethod:noAUG
9,FeatureNum:4.0
9,Split_Ratio:0.2
10,FeatureNum:5.0
10,FeatureNum:6.0
10,FeatureNum:7.0
10,FeatureNum:8.0
10,InfoGain:biMaxInfgain
10,InfoGain:biMeanInfgain
10,InfoGain:infgain
10,InfoGain:noSelect
10,Model:random_forest
10,NormOrder:First
10,NormOrder:Last
10,Scaler:MinMax
10,Scaler:Standard
7,ImblMethod:ADASYN
8,ImblMethod:RandomUnderSampler
8,Model:GradientBoosting
8,Model:LogisticRegression
8,Model:XGBmodel
8,Split_Ratio:0.1
6,ImblMethod:SMOTE
6,Prob_Threshold:0.35
5,ImblMethod:TomekLinks
5,ImblMethod:noIMB
5,Prob_Threshold:0.5
2,Model:DTmodel
4,Model:sklearn_SVM
