Metric,Mean,Std
Accuracy,0.627195720945721,0.09319106548676347
Macro_Precision,0.6479018786784715,0.05965610721700155
Macro_Recall,0.6473071581196581,0.0668926237196374
Macro_F1,0.6097266933884881,0.09599611932848875
Weighted_Precision,0.6928541304816642,0.05898349800023369
Weighted_Recall,0.627195720945721,0.09319106548676347
Weighted_F1,0.6210252222840584,0.11224599418493154
Micro_Precision,0.627195720945721,0.09319106548676347
Micro_Recall,0.627195720945721,0.09319106548676347
Micro_F1,0.627195720945721,0.09319106548676347
Integrated_Score,0.6342973924571496,0.08305444559458781
