Detail,MeanImportance,StdImportance,Rank
AugName_gaussian_noise,0.24040742554643413,0.05996394659770455,1
Model_DTmodel,0.13209763854901008,0.062299238244601145,2
Prob_Threshold,0.08150271562340031,0.04566532703260992,3
Split_Ratio,0.0730497082261292,0.01309143638362447,4
FeatureNum,0.07009097174402917,0.012037501496741852,5
ImblName_TomekLinks,0.04656708570059037,0.024119981000304717,6
ImblName_noImbl,0.04394943707077139,0.019618268400326072,7
Model_random_forest,0.03934850017616547,0.0013303849665011473,8
Model_LogisticRegression,0.03505706123700865,0.014749204179462015,9
Scaler_minmax,0.026258086801978168,0.0036766098385008594,10
