Metric,Model:LogisticRegression,Model:sklearn_SVM,Model:XGBmodel,Model:GradientBoosting,Scaler:standard,Split_Ratio:0.1,FeatureNum:5.0,Model:random_forest,Prob_Threshold:0.5,FeatureNum:4.0
Accuracy,0.7487974987974988,0.753742784992785,0.7459716209716211,0.7381854256854257,0.7393227914061248,0.7375240500240501,0.7363140331890332,0.7278138528138528,0.7403248757415424,0.7339691558441559
Macro_F1,0.725750539463055,0.722791047607672,0.7213277282404151,0.7162636408554955,0.7145902705343531,0.7128904461227703,0.7125555499319288,0.7086244217858678,0.7072626283174198,0.7081103397572625
Macro_Precision,0.7369698267319018,0.7358259290983367,0.7258909836323203,0.7196534221680587,0.7194180862132628,0.7203218653868597,0.7176193341178294,0.7159589616152068,0.7189441227931854,0.7157259604429265
Macro_Recall,0.7315440672153635,0.7210952503429355,0.7244778806584362,0.7220713305898491,0.7179911122542295,0.7179798239597622,0.7170119598765432,0.7197445130315501,0.7035069444444444,0.7111615869341564
Weighted_F1,0.7479601953352863,0.7497989792342575,0.745454392027688,0.7390326615406647,0.7390283938049599,0.7368076242889433,0.7363887042670874,0.7292044656727786,0.7362764386221321,0.7331166616634085
Weighted_Precision,0.7625478076692083,0.755389425151868,0.7516481556418356,0.7481399508046216,0.7459411816027459,0.7474170639074353,0.7450093171915627,0.7478210678721249,0.7388095672970535,0.7416315940471513
