Part,MeanImportance,StdImportance,Rank
AugName,0.31837889858080126,0.06268573015393508,1
Model,0.2636103825512421,0.09543100312920932,2
ImblName,0.1331260050186736,0.04947892354218438,3
FS_Method,0.042424457856553056,0.00932168025204564,4
Scaler,0.031696408572237406,0.003757201370331381,5
Norm_Order,0.024519419914072648,0.0024472106955256714,6
FeatureNum,0.0,0.0,7
Prob_Threshold,0.0,0.0,7
Random_State,0.0,0.0,7
Split_Ratio,0.0,0.0,7
