Metric,Split_Ratio:0.1,Model:sklearn_SVM,Model:GradientBoosting,Model:LogisticRegression,FS_Method:biMaxInfgain,Model:XGBmodel,FeatureNum:5.0,Model:random_forest,Scaler:standard,FeatureNum:6.0
Accuracy,0.752435064935065,0.7537878787878788,0.7448593073593073,0.7408910533910533,0.7355079816017316,0.7342171717171717,0.7350852272727272,0.7303391053391054,0.7332251082251082,0.7332927489177489
Macro_F1,0.7229269746674096,0.7193300371840102,0.721192349839918,0.7109185357846081,0.7097889608251902,0.7098574530882052,0.7081676955023557,0.708518841921402,0.7066907311059804,0.7053045795171963
Macro_Precision,0.7322508231229127,0.7355504489710931,0.7239471023086893,0.7221460179044273,0.7148828899755278,0.7123600297245407,0.713942304596742,0.7118857416467902,0.7115392557661383,0.7116367030390055
Macro_Recall,0.7215869341563786,0.7137551440329218,0.7233256172839506,0.7098585390946502,0.7117105516975308,0.7131790123456789,0.7088117283950618,0.7148070987654321,0.7084812242798354,0.706033950617284
Weighted_F1,0.7494853446734728,0.7483979105453714,0.7450426664902452,0.7380278645247933,0.7350236623961771,0.7344636680999996,0.7341562088855541,0.7315193881443078,0.7325000290144849,0.731886786316319
Weighted_Precision,0.753236252969367,0.7517320809605866,0.7495077831503516,0.7437855105095803,0.7406213731821528,0.739859975431622,0.738723229378719,0.7413528082721813,0.7375136982360329,0.7365146792221413
