Cluster,Part
1,AugName:gaussian_noise
3,AugName:mixup
3,AugName:noAug
7,FS_Method:biMaxInfgain
7,FS_Method:biMeanInfgain
7,FeatureNum:5.0
7,FeatureNum:6.0
7,Model:GradientBoosting
7,Norm_Order:first
7,Scaler:minmax
9,FS_Method:infgain
9,FeatureNum:4.0
9,FeatureNum:7.0
9,Model:XGBmodel
9,Scaler:standard
10,FS_Method:noSelect
10,FeatureNum:8.0
10,ImblName:RandomUnderSampler
10,ImblName:SMOTE
10,Model:random_forest
10,Norm_Order:last
10,Split_Ratio:0.2
8,ImblName:ADASYN
8,Prob_Threshold:0.35
5,ImblName:TomekLinks
5,ImblName:noImbl
5,Prob_Threshold:0.5
2,Model:DTmodel
6,Model:LogisticRegression
6,Split_Ratio:0.1
4,Model:sklearn_SVM
