Part_Label,AugName:gaussian_noise,Model:DTmodel,AugName:mixup,AugName:noAug,Model:sklearn_SVM,Model:LogisticRegression,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,ImblName:RandomUnderSampler,Prob_Threshold:0.35,ImblName:ADASYN,Model:random_forest,FS_Method:infgain,FS_Method:noSelect,FeatureNum:7.0,FeatureNum:8.0,Norm_Order:last,Scaler:minmax,Split_Ratio:0.2,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,FeatureNum:4.0,FeatureNum:5.0,FeatureNum:6.0,ImblName:SMOTE,Model:GradientBoosting,Model:XGBmodel,Norm_Order:first,Random_State:2026.0,Scaler:standard,Split_Ratio:0.1
AugName:gaussian_noise,,0.6122715625662913,,,0.9540075285016322,0.9823144729740648,0.6900360198983921,0.594979410423215,0.7140660563486612,0.9754558358824308,0.9836460786856842,0.9844360964930695,0.9887923281391062,0.9548009509207548,0.9635426680389391,0.9676467809140387,0.9635426680389391,0.9758273718745978,0.9548323128453811,0.9382759394231245,0.9665749073107505,0.9663835653250239,0.9531900376370557,0.9651710890109905,0.9649403263995634,0.9743769126133842,0.9764032051074535,0.9692630781458567,0.9439840597008947,0.963277625579271,0.9698491290791581,0.9756420159448727
Model:DTmodel,0.6122715625662913,,0.9400470683362814,0.8643619370018737,,,0.9861038257329305,0.9707395389221707,0.9868637290748806,0.6122889639091159,0.598752200874132,0.5983294997124585,,0.8110115121000956,0.7831078398844014,0.7740688738699327,0.7831078398844014,0.7444706019139468,0.8077723604930399,0.8435502822462582,0.7711294678808794,0.7726250781378325,0.8120672809001923,0.7719175070197553,0.7818291991481882,0.6834932578764622,,,0.8277104270217485,0.7847961274768961,0.7622537478637311,0.7281912215557662
AugName:mixup,,0.9400470683362814,,,0.9460484909140989,0.8989986982426255,0.9425692773833456,0.8761552236390888,0.9589887049854634,0.8353531703649498,0.8226521214822013,0.8220608711264341,0.8544079826245896,0.9465308845425816,0.9349707275904444,0.929320146438733,0.9349707275904444,0.913057755021155,0.9465789964822411,0.9605079201717392,0.9294814252219036,0.9300212034577148,0.9483419531040312,0.9307077194071555,0.9335529783240392,0.8824930257704529,0.9041248837340979,0.9207208308226084,0.957216175720621,0.9356326449094592,0.9241236532430337,0.9062148631025385
AugName:noAug,,0.8643619370018737,,,0.9716763518473702,0.9512401832312131,0.8749964056511842,0.7850405017812949,0.8990696674279124,0.9166355277749998,0.9050075485179077,0.9042464783743374,0.9245034155003221,0.9758827010312824,0.9732746945287042,0.9696809796232144,0.9732746945287042,0.9613079789184891,0.9773791004577501,0.978871782337152,0.9711211819040606,0.9713013991440997,0.9777899854701797,0.9725465385887786,0.9717433598141433,0.9481549101047299,0.9582592560222007,0.9678878613958142,0.9823491217356073,0.9732656243492833,0.968089302912018,0.959746110427994
Model:sklearn_SVM,0.9540075285016322,,0.9460484909140989,0.9716763518473702,,,0.8643375435926448,0.7838729475291445,0.8839887569222354,0.9466138415652123,0.9457914091528714,0.9460525414570946,,0.9994037793490071,0.9967914922486506,0.9962152362101375,0.9967914922486506,0.9916182563173315,0.9989296825062451,0.998760384099071,0.9951624083526822,0.9954125329020411,0.999145493700568,0.9947585715607793,0.9970841149205063,0.9715896742638997,,,0.998653950335673,0.9971459753788527,0.994113738562526,0.9867745626892157
Model:LogisticRegression,0.9823144729740648,,0.8989986982426255,0.9512401832312131,,,0.7788575963235278,0.6821112264627394,0.8041451571627237,0.9830151412891722,0.9833063021247788,0.9833835297691912,,0.9909524451340451,0.9956792528089344,0.9968502805893653,0.9956792528089344,0.9989957731516717,0.9914926735552386,0.9809521717467905,0.9966385978842507,0.9966877690693231,0.990615426222811,0.9964003875645747,0.9958231301951442,0.9938163077717029,,,0.986344039958246,0.9954045656115209,0.9976963249348634,0.9985886020839615
ImblName:TomekLinks,0.6900360198983921,0.9861038257329305,0.9425692773833456,0.8749964056511842,0.8643375435926448,0.7788575963235278,,,0.9985457649625967,,0.6554146082626566,,0.7082655086342158,0.8546394427912793,0.8276227388460248,0.8207876442261717,0.8276227388460248,0.794051987137133,0.8506075141075868,0.8848001840402673,0.8167831589161526,0.8180193874913342,0.8545754057287164,0.8162692329793749,0.8277893276204614,,0.7731737023242431,0.7979372729825555,0.8669712736627445,0.8297015102976567,0.8090319225234122,0.7757713304827372
ImblName:noImbl,0.594979410423215,0.9707395389221707,0.8761552236390888,0.7850405017812949,0.7838729475291445,0.6821112264627394,,,0.9767216898334367,,0.5399461961030233,,0.6009600659580898,0.7698822624417344,0.7362400572315276,0.7288544233126617,0.7362400572315276,0.6976958589466822,0.7641140517455977,0.8071489224041684,0.7231070883450015,0.7246467872739116,0.7690401121859376,0.7218921890807413,0.7370380865979191,,0.6718774408360301,0.700029092790047,0.7830680798516255,0.7389041624099097,0.714337646083183,0.6747161075177862
Prob_Threshold:0.5,0.7140660563486612,0.9868637290748806,0.9589887049854634,0.8990696674279124,0.8839887569222354,0.8041451571627237,0.9985457649625967,0.9767216898334367,,0.6943408138258453,,0.6872609818908872,0.7367380462641135,0.8759091404887777,0.8510771802716552,0.8443439201375812,0.8510771802716552,0.819038197942487,0.8724478592008688,0.903652965706653,0.840916227597694,0.8420904998187749,0.8761174656571711,0.8407015276285061,0.8509493400381334,0.7590704399487349,0.7997982168493019,0.8234119849315655,0.8880312873996229,0.8529228254731072,0.8335117266402554,0.8024642236044393
ImblName:RandomUnderSampler,0.9754558358824308,0.6122889639091159,0.8353531703649498,0.9166355277749998,0.9466138415652123,0.9830151412891722,,,0.6943408138258453,,0.998860471283481,,0.9951093448726172,0.9540587081223372,0.9681311499863555,0.9706980578557699,0.9681311499863555,0.9801563488690185,0.9567201426702543,0.9341468826504241,0.9726277631306706,0.9721870883800943,0.9544654981976634,0.9730337523835974,0.9677666511142504,,0.98646518020188,0.9792728323336606,0.9472418556136154,0.9671194099735774,0.9755113046910893,0.9861662192095647
Prob_Threshold:0.35,0.9836460786856842,0.598752200874132,0.8226521214822013,0.9050075485179077,0.9457914091528714,0.9833063021247788,0.6554146082626566,0.5399461961030233,,0.998860471283481,,0.9999780504186299,0.9968808209259937,0.9521530145272108,0.9662046200372758,0.9693791055906297,0.9662046200372758,0.979521411720903,0.9544821528427893,0.9318244195144794,0.9708900179763683,0.9704091753362564,0.9521735057637913,0.9708995710666778,0.9662580090456601,0.9932710332753747,0.9854355928840018,0.9774920092576165,0.9440654022041548,0.965303657612628,0.9740925513591366,0.9847938873385885
ImblName:ADASYN,0.9844360964930695,0.5983294997124585,0.8220608711264341,0.9042464783743374,0.9460525414570946,0.9833835297691912,,,0.6872609818908872,,0.9999780504186299,,0.9971030751407778,0.952253979380518,0.9662546355221862,0.9694836081830748,0.9662546355221862,0.979636117766051,0.9545563941241787,0.9320055610271338,0.9709625136431751,0.9704661194812688,0.9522443674571576,0.9709210948784301,0.9663659911931598,,0.9854982608398972,0.9775566499457226,0.9440927198333002,0.9653780736592289,0.9741670287780643,0.9847776919099651
Model:random_forest,0.9887923281391062,,0.8544079826245896,0.9245034155003221,,,0.7082655086342158,0.6009600659580898,0.7367380462641135,0.9951093448726172,0.9968808209259937,0.9971030751407778,,0.9710683488674597,0.9814581859294631,0.9840727253989543,0.9814581859294631,0.9911562497702602,0.9727341231243389,0.9551810709514513,0.9849529148201217,0.9845445495733289,0.9709331268185706,0.9846657287612794,0.9818110793554502,0.99643578656057,,,0.9642514739016005,0.9809331644571041,0.9872503870396755,0.9937703851237274
FS_Method:infgain,0.9548009509207548,0.8110115121000956,0.9465308845425816,0.9758827010312824,0.9994037793490071,0.9909524451340451,0.8546394427912793,0.7698822624417344,0.8759091404887777,0.9540587081223372,0.9521530145272108,0.952253979380518,0.9710683488674597,,,0.9979916331039922,0.9986349058586846,0.9941032126426145,0.9998957483204702,0.998093033820075,,,0.9999477973251063,0.9971694472435674,0.9986604799511544,0.9773799426012245,0.989566622167588,0.9940487529583553,0.9993635334094785,0.9988127574154619,0.9964329431924891,0.9903932874554873
FS_Method:noSelect,0.9635426680389391,0.7831078398844014,0.9349707275904444,0.9732746945287042,0.9967914922486506,0.9956792528089344,0.8276227388460248,0.7362400572315276,0.8510771802716552,0.9681311499863555,0.9662046200372758,0.9662546355221862,0.9814581859294631,,,0.9998668725125602,1.0,0.9982008163118289,0.9991004344553384,0.9937533410642863,,,0.9987353420635953,0.9997140812402506,0.9999538979302568,0.9870301414862127,0.9956649040133886,0.9983020648725283,0.9971347494655871,0.9999840122176535,0.9994400324894853,0.9961981082353104
FeatureNum:7.0,0.9676467809140387,0.7740688738699327,0.929320146438733,0.9696809796232144,0.9962152362101375,0.9968502805893653,0.8207876442261717,0.7288544233126617,0.8443439201375812,0.9706980578557699,0.9693791055906297,0.9694836081830748,0.9840727253989543,0.9979916331039922,0.9998668725125602,,,0.9989528395184,0.9984683689564975,0.992401693584243,0.9998713477202792,0.9999171667615926,,,,0.9884312867428218,0.9966808550636485,0.9987475427531447,0.9959627765303918,0.9998449395534028,0.9997617719231726,0.9970821455810318
FeatureNum:8.0,0.9635426680389391,0.7831078398844014,0.9349707275904444,0.9732746945287042,0.9967914922486506,0.9956792528089344,0.8276227388460248,0.7362400572315276,0.8510771802716552,0.9681311499863555,0.9662046200372758,0.9662546355221862,0.9814581859294631,0.9986349058586846,1.0,,,0.9982008163118289,0.9991004344553384,0.9937533410642863,0.999752802815628,0.999835226125458,,,,0.9870301414862127,0.9956649040133886,0.9983020648725283,0.9971347494655871,0.9999840122176535,0.9994400324894853,0.9961981082353104
Norm_Order:last,0.9758273718745978,0.7444706019139468,0.913057755021155,0.9613079789184891,0.9916182563173315,0.9989957731516717,0.794051987137133,0.6976958589466822,0.819038197942487,0.9801563488690185,0.979521411720903,0.979636117766051,0.9911562497702602,0.9941032126426145,0.9982008163118289,0.9989528395184,0.9982008163118289,,0.9948949682661069,0.9857933304792766,0.9990921561562399,0.9990300302558998,0.9940935825172106,0.9989477353760571,0.9983060624376952,0.9936624663999896,0.9991822683247275,0.9993831474730059,,0.9980374307282885,0.9996066773565858,0.9993367157452165
Scaler:minmax,0.9548323128453811,0.8077723604930399,0.9465789964822411,0.9773791004577501,0.9989296825062451,0.9914926735552386,0.8506075141075868,0.7641140517455977,0.8724478592008688,0.9567201426702543,0.9544821528427893,0.9545563941241787,0.9727341231243389,0.9998957483204702,0.9991004344553384,0.9984683689564975,0.9991004344553384,0.9948949682661069,,0.997570435739871,0.998028553825718,0.9982098738803216,0.999966472178998,0.9979489040574828,0.9990717360607231,0.9794720857163782,0.9908925666810342,0.9952036810951372,0.999370612446709,0.9992421981684052,,0.9916211435145865
