Metric,Model:LogisticRegression,Model:sklearn_SVM,Model:XGBmodel,Model:random_forest,Model:GradientBoosting,FeatureNum:4.0,Scaler:standard,Prob_Threshold:0.5,FS_Method:infgain,FS_Method:noSelect
Accuracy,0.7303391053391053,0.7355699855699855,0.7335858585858586,0.7177128427128427,0.726010101010101,0.7261904761904762,0.7243265993265994,0.7309102934102933,0.7209821428571428,0.7149621212121212
Macro_F1,0.7086029299083848,0.7058978107377355,0.7041344043710899,0.7003267651395716,0.7019609158677962,0.6985355278035567,0.6990773722204632,0.6968488274882646,0.6942454417614443,0.6923866567963818
Macro_Precision,0.7168095324344768,0.7140269081532973,0.7120075496093166,0.7099238846444388,0.705447889369348,0.7057300872968009,0.7032234455309918,0.7073722219246996,0.7017339610986476,0.6987330927857894
Macro_Recall,0.7154578189300411,0.7066486625514403,0.7043518518518518,0.7148456790123457,0.7059722222222222,0.7008314043209877,0.7021322016460906,0.6933196159122085,0.6979301697530863,0.6994174382716049
Weighted_F1,0.7309463576539881,0.7331433889580365,0.7314099279706437,0.7194941963415857,0.7265758283664392,0.724952292927655,0.7244794929414665,0.7268477721665719,0.7201876089240419,0.7159237033640607
Weighted_Precision,0.745261393044422,0.7382703866949667,0.7360596062626485,0.7444173981198756,0.7337786004341924,0.7320397489892306,0.7309660301497305,0.7286345127736178,0.7293065512340805,0.7293147470394516
