Metric,AugName:noAug,FS_Method:biMaxInfgain,FS_Method:infgain,FS_Method:noSelect,FeatureNum:4.0,FeatureNum:5.0,FeatureNum:6.0,FeatureNum:7.0,FeatureNum:8.0,ImblName:noImbl,Model:DTmodel,Model:GradientBoosting,Model:LogisticRegression,Model:XGBmodel,Model:random_forest,Model:sklearn_SVM,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,Scaler:minmax,Scaler:standard,Split_Ratio:0.1,Split_Ratio:0.2
Accuracy,0.05132695052589469,0.05194851758841443,0.049229240783567066,0.05688488688459034,0.04685964602632414,0.05062396296225715,0.050121436617834726,0.053998835968031206,0.05688488688459034,0.05132695052589469,0.037429002714205746,0.03756518294357862,0.03985681204697571,0.04302255525635628,0.04448891945752363,0.04385611803235668,0.051317534627375046,0.05137584889352106,0.05132695052589469,0.05230522698384453,0.05003497770479486,0.05987354846565042,0.04042486440833133
Macro_F1,0.054341498577557754,0.05522555771888265,0.0521036986899141,0.05917662455457889,0.04939660736120684,0.05343201690470791,0.05424878703881617,0.0568674409639745,0.05917662455457889,0.054341498577557754,0.04050126874439307,0.04047152038287056,0.04393619168251512,0.05013686944624523,0.04692984453467644,0.05113992471124837,0.054360828456536704,0.05436389723521913,0.054341498577557754,0.05451314212201984,0.053799928714427556,0.06562610160452441,0.03918491139275757
Macro_Precision,0.05869072284282221,0.05855368929822155,0.057209491035553645,0.06502012346860443,0.0547959804134506,0.057268837412172646,0.05749580767131103,0.06113280662234001,0.06502012346860443,0.05869072284282221,0.0401511699353195,0.04198174715010694,0.044542244551104185,0.050366736069033365,0.04888478676398592,0.05579318664269756,0.058691337429153265,0.05873522641666295,0.05869072284282221,0.05930183343888944,0.05788105042532832,0.0682301834790775,0.046663670202209184
Macro_Recall,0.05268286628253692,0.05353928199619564,0.050499810692697086,0.05720133558311172,0.047699900402512305,0.05199347066095686,0.053284045627316055,0.05454712390432239,0.05720133558311172,0.05268286628253692,0.04113929110546304,0.03986627452541678,0.0449238874057808,0.049920437922219445,0.04576590582198462,0.04945206081405458,0.05270333818367627,0.05270284639224087,0.05268286628253692,0.05305654817388439,0.051980534152860414,0.06443436523014169,0.036418919315827594
Weighted_F1,0.05021511068425323,0.05099436821852531,0.048093351511465904,0.05515428632933602,0.04567029920032092,0.04946120931423986,0.04954965475237924,0.05277482637102158,0.05515428632933602,0.05021511068425323,0.036951993080924686,0.03707819871039743,0.0398351949944392,0.04432934565310535,0.043557063773031125,0.04522055592305122,0.0502200363121313,0.050248778656280434,0.05021511068425323,0.050730558502427185,0.04935905868650417,0.0597468511165029,0.03771560030749694
Weighted_Precision,0.05055392715333307,0.0508331113506284,0.048904915211589774,0.055817251765393684,0.04644315094510386,0.0496554528697583,0.05010759224612024,0.05257268755950124,0.055817251765393684,0.05055392715333307,0.03692761520664404,0.0368477875411315,0.03964846175213708,0.04504671043259065,0.04262618413802526,0.04803923305119859,0.0505617779242416,0.05058492002290539,0.05055392715333307,0.05097290056794689,0.04994091357712992,0.06010446117731548,0.038016213644661505
