Metric,FeatureNum:5.0,Split_Ratio:0.1,Scaler:standard,FeatureNum:8.0,FS_Method:noSelect,Model:GradientBoosting,Norm_Order:first,ImblName:noImbl,AugName:noAug,Norm_Order:last
Accuracy,0.047705945858321226,0.03870059139515889,0.04522149901483386,0.05305534814818964,0.05305534814818964,0.040452742533171694,0.04335600940427582,0.04326884192455369,0.04326884192455369,0.043231682817436605
Macro_F1,0.04889369806227151,0.043919016438221194,0.04831676019802443,0.05184116103052583,0.05184116103052583,0.041078483724608,0.04382725142784892,0.04373831388026247,0.04373831388026247,0.043699900501042284
Macro_Precision,0.05240356283744787,0.04512760256904405,0.050095792765586795,0.05566629139544816,0.05566629139544816,0.0421664396147566,0.047205869698454514,0.047108174822392684,0.047108174822392684,0.04706490472800841
Macro_Recall,0.04894984966186658,0.04610006010275288,0.049297442139064215,0.04997977440749728,0.04997977440749728,0.04021936211732933,0.04358384651744161,0.04350620775617775,0.04350620775617775,0.043478861962770586
Weighted_F1,0.04582140511322998,0.03904180770288869,0.044360450039116886,0.05009931042497275,0.05009931042497275,0.03894104123968464,0.0413754453451716,0.041290619648128295,0.041290619648128295,0.04125349818081277
Weighted_Precision,0.04603244238596494,0.040855060577844673,0.04503420131180379,0.04773672831761252,0.04773672831761252,0.03687225089862278,0.040950443592099144,0.0408697803523295,0.0408697803523295,0.040836342911777825
