Metric,Split_Ratio:0.1,FeatureNum:8.0,FS_Method:noSelect,FeatureNum:5.0,FeatureNum:7.0,FS_Method:biMaxInfgain,Prob_Threshold:0.35,Scaler:standard,Norm_Order:first,Model:XGBmodel
Accuracy,0.7375240500240501,0.7266188672438673,0.7266188672438673,0.7363140331890332,0.7267992424242424,0.7327516233766234,0.7226330767997434,0.7393227914061248,0.7314564293730961,0.7459716209716211
Macro_F1,0.7128904461227703,0.702207716814869,0.702207716814869,0.7125555499319288,0.7019397256215072,0.7087295862353266,0.7056303988744772,0.7145902705343531,0.7064202944364476,0.7213277282404151
Macro_Precision,0.7203218653868597,0.7101408578502975,0.7101408578502975,0.7176193341178294,0.7090684340650159,0.713984595815046,0.7075979218933699,0.7194180862132628,0.7132434103230894,0.7258909836323203
Macro_Recall,0.7179798239597622,0.707934670781893,0.707934670781893,0.7170119598765432,0.707289737654321,0.7134555041152263,0.7181018518518518,0.7179911122542295,0.7107837505715592,0.7244778806584362
Weighted_F1,0.7368076242889433,0.7264197995164117,0.7264197995164117,0.7363887042670874,0.7264280623965162,0.7327896830504859,0.7257481356975994,0.7390283938049599,0.7309883151671152,0.745454392027688
Weighted_Precision,0.7474170639074353,0.7385836218099817,0.7385836218099817,0.7450093171915627,0.7373762277888704,0.7418186724859419,0.7423286418519491,0.7459411816027459,0.7405480456822758,0.7516481556418356
