Metric,Model:LogisticRegression,FeatureNum:4.0,Split_Ratio:0.2,Model:XGBmodel,Scaler:standard,Model:GradientBoosting,FS_Method:infgain,FeatureNum:5.0,Model:random_forest,Norm_Order:last
Accuracy,0.7436868686868687,0.7324810606060606,0.7307900432900433,0.7267316017316018,0.7221320346320347,0.7193362193362193,0.7191220238095238,0.7153003246753248,0.713023088023088,0.7129930254930256
Macro_F1,0.7121630806096222,0.6973258868164618,0.6967380246366859,0.685272006685429,0.685695269297535,0.6858780250182082,0.6819545882226229,0.6830757455490971,0.6833144293294581,0.6773102503604675
Macro_Precision,0.7248317620069211,0.7109573518845878,0.7071851272533837,0.7013760381818112,0.6963956719292712,0.6930499601780072,0.6949197464397566,0.6880835623139512,0.6877347190693576,0.6873506706807313
Macro_Recall,0.7089351851851853,0.6929861111111112,0.6932270233196158,0.6801440329218107,0.6818475651577502,0.6833230452674897,0.6786400462962963,0.6817534722222223,0.6831944444444444,0.6750077160493828
Weighted_F1,0.7400508818856788,0.7277054022358936,0.7267397943681074,0.719157268606978,0.7173696603388189,0.7162109912831259,0.7139176955387939,0.7129787615037011,0.7118630992606794,0.708863472632624
Weighted_Precision,0.74434019136147,0.730672574333303,0.7284926008613568,0.7206228216958445,0.7183300615246536,0.7170021869645851,0.7167937420744138,0.7138056455226375,0.7144103863578342,0.711249882769071
