Metric,Model,Avg_Rank,CD,Friedman_chi2,Friedman_p
Accuracy,random_forest,1.0,1.352731680711293,,
Macro_Precision,random_forest,1.0,1.352731680711293,,
Macro_Recall,random_forest,1.0,1.352731680711293,,
Macro_F1,random_forest,1.0,1.352731680711293,,
Weighted_Precision,random_forest,1.0,1.352731680711293,,
Weighted_Recall,random_forest,1.0,1.352731680711293,,
Weighted_F1,random_forest,1.0,1.352731680711293,,
Micro_Precision,random_forest,1.0,1.352731680711293,,
Micro_Recall,random_forest,1.0,1.352731680711293,,
Micro_F1,random_forest,1.0,1.352731680711293,,
Integrated_Score,random_forest,1.0,1.352731680711293,,
